published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2008-03-26,630.0,630.0,630.0,630.0,nan,20.0,0.0,0
2008-03-30,630.0,630.0,630.0,630.0,0.0,20.0,0.0,0
2008-03-31,630.0,630.0,630.0,630.0,0.0,500.0,0.0,0
2008-04-01,630.0,618.0,580.0,580.0,-7.94,700.0,0.0,0
2008-04-27,580.0,580.0,580.0,580.0,0.0,160.0,0.0,0
2008-04-29,580.0,569.0,558.0,558.0,-3.79,40.0,0.0,0
2008-04-30,558.0,569.0,569.0,569.0,1.97,20.0,0.0,0
2008-05-06,569.0,558.0,558.0,558.0,-1.93,120.0,0.0,0
2008-05-08,558.0,591.0,569.0,591.0,5.91,60.0,0.0,0
2008-05-11,591.0,639.0,602.0,639.0,8.12,120.0,0.0,0
2008-05-12,639.0,627.0,603.0,615.0,-3.76,130.0,0.0,0
2008-05-15,615.0,651.0,627.0,651.0,5.85,70.0,0.0,0
2008-05-18,651.0,664.0,664.0,664.0,2.00,650.0,0.0,0
2008-05-21,664.0,651.0,651.0,651.0,-1.96,30.0,0.0,0
2008-05-22,651.0,664.0,664.0,664.0,2.00,10.0,0.0,0
2008-05-25,664.0,680.0,677.0,680.0,2.41,50.0,0.0,0
2008-06-04,680.0,693.0,693.0,693.0,1.91,10.0,0.0,0
2008-06-05,693.0,693.0,693.0,693.0,0.0,20.0,0.0,0
2008-06-11,693.0,680.0,680.0,680.0,-1.88,200.0,0.0,0
2008-06-17,680.0,693.0,693.0,693.0,1.91,20.0,0.0,0
2008-06-18,693.0,725.0,706.0,725.0,4.62,190.0,0.0,0
2008-06-30,725.0,797.0,739.0,797.0,9.93,200.0,0.0,0
2008-07-02,797.0,828.0,812.0,828.0,3.89,20.0,0.0,0
2008-07-03,828.0,844.0,844.0,844.0,1.93,10.0,0.0,0
2008-07-06,844.0,840.0,840.0,840.0,-0.47,1270.0,0.0,0
2008-07-07,840.0,856.0,856.0,856.0,1.90,20.0,0.0,0
2008-07-10,856.0,839.0,823.0,823.0,-3.86,120.0,0.0,0
2008-07-17,823.0,850.0,839.0,850.0,3.28,140.0,0.0,0
2008-07-22,850.0,833.0,817.0,817.0,-3.88,130.0,0.0,0
2008-07-23,817.0,812.0,806.0,812.0,-0.61,140.0,0.0,0
2008-07-27,812.0,816.0,800.0,816.0,0.49,240.0,0.0,0
2008-07-30,816.0,821.0,821.0,821.0,0.61,10.0,0.0,0
2008-07-31,821.0,840.0,830.0,840.0,2.31,50.0,0.0,0
2008-08-05,840.0,856.0,856.0,856.0,1.90,30.0,0.0,0
2008-08-10,856.0,856.0,856.0,856.0,0.0,100.0,0.0,0
2008-08-11,856.0,873.0,873.0,873.0,1.99,150.0,0.0,0
2008-08-12,873.0,874.0,874.0,874.0,0.11,330.0,0.0,0
2008-08-13,874.0,908.0,891.0,908.0,3.89,40.0,0.0,0
2008-08-19,908.0,926.0,926.0,926.0,1.98,380.0,0.0,0
2008-08-25,926.0,920.0,910.0,918.0,-0.86,440.0,0.0,0
2008-08-31,918.0,938.0,920.0,938.0,2.18,240.0,0.0,0
2008-09-03,938.0,956.0,956.0,956.0,1.92,210.0,0.0,0
2008-09-08,956.0,977.0,975.0,977.0,2.20,120.0,0.0,0
2008-09-09,977.0,980.0,980.0,980.0,0.31,50.0,0.0,0
2008-09-10,980.0,984.0,965.0,984.0,0.41,170.0,0.0,0
2008-09-11,984.0,1023.0,1003.0,1023.0,3.96,120.0,0.0,0
2008-09-15,1023.0,1043.0,1043.0,1043.0,1.96,40.0,0.0,0
2008-09-16,1043.0,1064.0,1063.0,1064.0,2.01,20.0,0.0,0
2008-09-18,1064.0,1100.0,1085.0,1100.0,3.38,170.0,0.0,0
2008-09-23,1100.0,1122.0,1100.0,1110.0,0.91,180.0,0.0,0
2008-09-24,1110.0,1154.0,1110.0,1154.0,3.96,30.0,0.0,0
2008-10-01,1154.0,1177.0,1177.0,1177.0,1.99,260.0,0.0,0
2008-10-27,1177.0,1160.0,1160.0,1160.0,-1.44,220.0,0.0,0
2008-11-03,1160.0,1160.0,1145.0,1145.0,-1.29,190.0,0.0,0
2008-11-06,1145.0,1145.0,1123.0,1130.0,-1.31,190.0,0.0,0
2008-11-09,1130.0,1130.0,1130.0,1130.0,0.0,130.0,0.0,0
2008-11-11,1130.0,1130.0,1130.0,1130.0,0.0,100.0,0.0,0
2008-11-16,1130.0,1186.0,1186.0,1186.0,4.96,210.0,0.0,0
2008-11-17,1186.0,1165.0,1165.0,1165.0,-1.77,20.0,0.0,0
2008-11-19,1165.0,1142.0,1140.0,1140.0,-2.15,130.0,0.0,0
2008-11-20,1140.0,1120.0,1120.0,1120.0,-1.75,30.0,0.0,0
2008-12-03,1120.0,1115.0,1093.0,1093.0,-2.41,100.0,0.0,0
2008-12-04,1093.0,1196.0,1114.0,1177.0,7.69,760.0,0.0,0
2008-12-07,1177.0,1225.0,1200.0,1225.0,4.08,90.0,0.0,0
2008-12-08,1225.0,1347.0,1249.0,1347.0,9.96,970.0,0.0,0
2008-12-10,1347.0,1380.0,1350.0,1380.0,2.45,350.0,0.0,0
2008-12-11,1380.0,1380.0,1375.0,1380.0,0.0,30.0,0.0,0
2008-12-16,1380.0,1353.0,1300.0,1305.0,-5.43,390.0,0.0,0
2008-12-17,1305.0,1300.0,1205.0,1215.0,-6.90,350.0,0.0,0
2008-12-18,1215.0,1200.0,1200.0,1200.0,-1.23,60.0,0.0,0
2008-12-21,1200.0,1180.0,1180.0,1180.0,-1.67,150.0,0.0,0
2008-12-22,1180.0,1210.0,1180.0,1190.0,0.85,640.0,0.0,0
2008-12-23,1190.0,1210.0,1210.0,1210.0,1.68,120.0,0.0,0
2008-12-24,1210.0,1200.0,1200.0,1200.0,-0.83,110.0,0.0,0
2008-12-28,1200.0,1226.0,1220.0,1226.0,2.17,270.0,0.0,0
2009-01-05,1226.0,1250.0,1230.0,1250.0,1.96,40.0,0.0,0
2009-01-18,1250.0,1274.0,1274.0,1274.0,1.92,260.0,0.0,0
2009-01-20,1274.0,1249.0,1249.0,1249.0,-1.96,10.0,0.0,0
2009-01-25,1249.0,1225.0,1154.0,1154.0,-7.61,40.0,0.0,0
2009-01-26,1154.0,1131.0,1039.0,1060.0,-8.15,230.0,0.0,0
2009-01-28,1060.0,1060.0,1040.0,1060.0,0.0,1130.0,0.0,0
2009-02-01,1060.0,1081.0,956.0,960.0,-9.43,560.0,0.0,0
2009-02-02,960.0,979.0,979.0,979.0,1.98,490.0,0.0,0
2009-02-03,979.0,960.0,882.0,882.0,-9.91,110.0,0.0,0
2009-02-04,882.0,866.0,866.0,866.0,-1.81,10.0,0.0,0
2009-02-05,866.0,849.0,786.0,786.0,-9.24,120.0,0.0,0
2009-02-16,786.0,825.0,825.0,825.0,4.96,10.0,0.0,0
2009-02-22,825.0,799.0,784.0,799.0,-3.15,270.0,0.0,0
2009-03-01,799.0,878.0,814.0,878.0,9.89,890.0,0.0,0
2009-03-02,878.0,912.0,895.0,912.0,3.87,20.0,0.0,0
2009-03-03,912.0,1003.0,930.0,1003.0,9.98,1130.0,0.0,0
2009-03-04,1003.0,1103.0,1040.0,1103.0,9.97,630.0,0.0,0
2009-03-05,1103.0,1169.0,1081.0,1110.0,0.63,600.0,0.0,0
2009-03-08,1110.0,1100.0,1099.0,1099.0,-0.99,180.0,0.0,0
2009-03-09,1099.0,1090.0,1069.0,1069.0,-2.73,320.0,0.0,0
2009-03-12,1069.0,1090.0,1085.0,1090.0,1.96,130.0,0.0,0
2009-03-15,1090.0,1100.0,1100.0,1100.0,0.92,100.0,0.0,0
2009-03-16,1100.0,1078.0,1057.0,1057.0,-3.91,140.0,0.0,0
2009-03-17,1057.0,1036.0,980.0,980.0,-7.28,550.0,0.0,0
2009-03-18,980.0,999.0,980.0,981.0,0.10,270.0,0.0,0
2009-03-19,981.0,962.0,940.0,940.0,-4.18,370.0,0.0,0
2009-03-24,940.0,950.0,931.0,950.0,1.06,190.0,0.0,0
2009-03-25,950.0,931.0,931.0,931.0,-2.00,340.0,0.0,0
2009-03-30,931.0,995.0,949.0,995.0,6.87,440.0,0.0,0
2009-04-01,995.0,1050.0,990.0,1050.0,5.53,950.0,0.0,0
2009-04-02,1050.0,1029.0,1010.0,1012.0,-3.62,520.0,0.0,0
2009-04-05,1012.0,1032.0,1010.0,1010.0,-0.20,1150.0,0.0,0
2009-04-07,1010.0,1000.0,1000.0,1000.0,-0.99,210.0,0.0,0
2009-04-12,1000.0,1020.0,1000.0,1000.0,0.0,260.0,0.0,0
2009-04-13,1000.0,1045.0,1020.0,1045.0,4.50,160.0,0.0,0
2009-04-16,1045.0,1060.0,1060.0,1060.0,1.44,80.0,0.0,0
2009-04-21,1060.0,1080.0,1060.0,1060.0,0.0,420.0,0.0,0
2009-04-22,1060.0,1055.0,1055.0,1055.0,-0.47,100.0,0.0,0
2009-04-23,1055.0,1054.0,1052.0,1054.0,-0.09,380.0,0.0,0
2009-04-29,1054.0,1035.0,1035.0,1035.0,-1.80,40.0,0.0,0
2009-05-13,1035.0,1015.0,1015.0,1015.0,-1.93,440.0,0.0,0
2009-05-14,1015.0,1035.0,1020.0,1035.0,1.97,530.0,0.0,0
2009-05-17,1035.0,1050.0,1050.0,1050.0,1.45,70.0,0.0,0
2009-05-18,1050.0,1091.0,1060.0,1091.0,3.90,230.0,0.0,0
2009-05-19,1091.0,1115.0,1111.0,1115.0,2.20,490.0,0.0,0
2009-05-20,1115.0,1145.0,1115.0,1145.0,2.69,300.0,0.0,0
2009-05-21,1145.0,1160.0,1130.0,1140.0,-0.44,210.0,0.0,0
2009-05-24,1140.0,1195.0,1140.0,1181.0,3.60,1140.0,0.0,0
2009-05-25,1181.0,1256.0,1180.0,1256.0,6.35,190.0,0.0,0
2009-06-07,1256.0,300.0,300.0,300.0,-76.11,10.0,0.0,0
2009-06-08,300.0,300.0,300.0,300.0,0.0,20.0,0.0,0
2009-07-29,300.0,306.0,306.0,306.0,2.00,10.0,0.0,0
2009-08-09,306.0,306.0,306.0,306.0,0.0,450.0,0.0,0
2009-08-09,306.0,1000.0,1000.0,1000.0,226.80,40.0,0.0,0
2009-09-02,1000.0,312.0,312.0,312.0,-68.80,10.0,0.0,0
2009-09-05,312.0,316.0,310.0,310.0,-0.64,896.0,0.0,0
2009-09-06,310.0,318.0,310.0,318.0,2.58,817.0,0.0,0
2009-09-13,318.0,318.0,318.0,318.0,0.0,20.0,0.0,0
2009-10-07,318.0,318.0,318.0,318.0,0.0,20.0,0.0,0
2009-10-08,318.0,324.0,324.0,324.0,1.89,10.0,0.0,0
2009-11-02,324.0,330.0,324.0,330.0,1.85,40.0,0.0,0
2009-11-19,330.0,342.0,336.0,342.0,3.64,40.0,0.0,0
2009-11-24,342.0,361.0,348.0,361.0,5.56,540.0,0.0,0
2009-11-25,361.0,356.0,348.0,348.0,-3.60,720.0,0.0,0
2009-11-26,348.0,357.0,350.0,350.0,0.57,650.0,0.0,0
2009-11-30,350.0,350.0,350.0,350.0,0.0,1391.0,0.0,0
2009-12-01,350.0,345.0,334.0,335.0,-4.29,3177.0,0.0,0
2009-12-03,335.0,330.0,325.0,325.0,-2.99,262.0,0.0,0
2009-12-07,325.0,349.0,331.0,349.0,7.38,380.0,0.0,0
2009-12-08,349.0,362.0,355.0,362.0,3.72,81.0,0.0,0
2009-12-09,362.0,366.0,365.0,365.0,0.83,213.0,0.0,0
2009-12-10,365.0,372.0,372.0,372.0,1.92,20.0,0.0,0
2009-12-13,372.0,377.0,370.0,375.0,0.81,332.0,0.0,0
2009-12-15,375.0,382.0,382.0,382.0,1.87,200.0,0.0,0
2009-12-16,382.0,392.0,384.0,392.0,2.62,610.0,0.0,0
2009-12-17,392.0,392.0,385.0,392.0,0.0,1033.0,0.0,0
2009-12-20,392.0,385.0,385.0,385.0,-1.79,100.0,0.0,0
2009-12-21,385.0,380.0,380.0,380.0,-1.30,41.0,0.0,0
2009-12-31,380.0,378.0,378.0,378.0,-0.53,162.0,0.0,0
2010-01-25,378.0,371.0,371.0,371.0,-1.85,243.0,0.0,0
2010-01-27,371.0,371.0,362.0,362.0,-2.43,1208.0,0.0,0
2010-02-03,362.0,362.0,360.0,360.0,-0.55,984.0,0.0,0
2010-02-15,360.0,355.0,355.0,355.0,-1.39,240.0,0.0,0
2010-03-01,355.0,362.0,362.0,362.0,1.97,1400.0,0.0,0
2010-03-02,362.0,360.0,360.0,360.0,-0.55,40.0,0.0,0
2010-03-03,360.0,360.0,340.0,340.0,-5.56,2325.0,0.0,0
2010-03-04,340.0,340.0,329.0,329.0,-3.24,1119.0,0.0,0
2010-03-09,329.0,325.0,325.0,325.0,-1.22,404.0,0.0,0
2010-03-10,325.0,325.0,325.0,325.0,0.0,2080.0,0.0,0
2010-03-11,325.0,331.0,331.0,331.0,1.85,7046.0,0.0,0
2010-03-28,331.0,325.0,325.0,325.0,-1.81,41.0,0.0,0
