published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-07-29,108.0,106.0,106.0,106.0,nan,446.0,47276.0,0
2013-09-02,106.0,105.0,101.0,101.0,-4.72,756.0,77712.0,0
2013-09-03,101.0,103.0,101.0,103.0,1.98,1562.0,159764.0,0
2013-09-05,103.0,105.0,105.0,105.0,1.94,198.0,20790.0,0
2013-09-09,105.0,107.0,107.0,107.0,1.90,500.0,53500.0,0
2013-09-10,107.0,107.0,107.0,107.0,0.0,40.0,4280.0,0
2013-09-11,107.0,107.0,105.0,105.0,-1.87,1385.0,146327.0,0
2013-09-15,105.0,105.0,105.0,105.0,0.0,966.0,101430.0,0
2013-09-17,105.0,105.0,105.0,105.0,0.0,16.0,1680.0,0
2013-09-22,105.0,105.0,105.0,105.0,0.0,32.0,3360.0,0
2013-09-23,105.0,105.0,105.0,105.0,0.0,495.0,51975.0,0
2013-09-24,105.0,107.0,105.0,105.0,0.0,336.0,35722.0,0
2013-09-25,105.0,106.0,105.0,106.0,0.95,1421.0,149226.0,0
2013-10-02,106.0,106.0,106.0,106.0,0.0,125.0,13250.0,0
2013-10-03,106.0,104.0,104.0,104.0,-1.89,565.0,61910.0,0
2013-10-20,104.0,102.0,102.0,102.0,-1.92,27.0,2754.0,0
2013-10-22,102.0,100.0,100.0,100.0,-1.96,3029.0,302900.0,0
2013-10-23,100.0,104.0,102.0,102.0,2.00,863.0,88122.0,0
2013-10-28,102.0,104.0,102.0,102.0,0.0,191.0,19614.0,0
2013-10-29,102.0,102.0,102.0,102.0,0.0,125.0,12750.0,0
2013-11-07,102.0,102.0,100.0,102.0,0.0,220.0,22190.0,0
2013-12-01,102.0,102.0,100.0,100.0,-1.96,1545.0,155820.0,0
2013-12-04,100.0,104.0,102.0,104.0,4.00,20.0,2060.0,0
2013-12-05,104.0,110.0,106.0,110.0,5.77,30.0,3240.0,0
2013-12-09,110.0,118.0,112.0,118.0,7.27,258.0,30148.0,0
2013-12-10,118.0,120.0,120.0,120.0,1.69,10.0,1200.0,0
2013-12-11,120.0,124.0,122.0,124.0,3.33,30.0,3700.0,0
2013-12-12,124.0,130.0,126.0,130.0,4.84,336.0,43078.0,0
2013-12-15,130.0,134.0,132.0,134.0,3.08,218.0,29172.0,0
2013-12-22,134.0,136.0,136.0,136.0,1.49,130.0,17680.0,0
2013-12-23,136.0,138.0,138.0,138.0,1.47,43.0,5934.0,0
2013-12-24,138.0,138.0,136.0,138.0,0.0,148.0,20260.0,0
2014-01-08,138.0,136.0,136.0,136.0,-1.45,500.0,68000.0,0
2014-01-13,136.0,134.0,134.0,134.0,-1.47,129.0,17286.0,0
2014-01-21,134.0,140.0,136.0,140.0,4.48,297.0,40980.0,0
2014-01-22,140.0,142.0,142.0,142.0,1.43,660.0,93720.0,0
2014-01-23,142.0,144.0,144.0,144.0,1.41,52.0,7488.0,0
2014-01-26,144.0,145.0,145.0,145.0,0.69,206.0,29870.0,0
2014-01-28,145.0,151.0,147.0,151.0,4.14,304.0,45362.0,0
2014-01-29,151.0,154.0,154.0,154.0,1.99,416.0,64064.0,0
2014-02-03,154.0,157.0,157.0,157.0,1.95,140.0,21980.0,0
2014-02-13,157.0,163.0,160.0,163.0,3.82,226.0,36508.0,0
2014-02-16,163.0,166.0,166.0,166.0,1.84,7047.0,1169802.0,0
2014-02-18,166.0,169.0,169.0,169.0,1.81,143.0,24167.0,0
2014-02-23,169.0,172.0,172.0,172.0,1.78,1600.0,167200.0,0
2014-02-26,172.0,172.0,172.0,172.0,0.0,53.0,9116.0,0
2014-03-03,172.0,173.0,170.0,170.0,-1.16,4317.0,744390.0,0
2014-03-06,170.0,173.0,173.0,173.0,1.76,354.0,61242.0,0
2014-03-09,173.0,173.0,173.0,173.0,0.0,12414.0,2147622.0,0
2014-03-10,173.0,172.0,170.0,172.0,-0.58,562.0,95844.0,0
2014-03-11,172.0,172.0,172.0,172.0,0.0,125.0,21500.0,0
2014-05-11,172.0,169.0,166.0,166.0,-3.49,434.0,73226.0,0
2014-05-20,166.0,168.0,165.0,168.0,1.20,964.0,161550.0,0
2014-05-21,168.0,168.0,168.0,168.0,0.0,790.0,132720.0,0
2014-05-26,168.0,165.0,165.0,165.0,-1.79,207.0,34155.0,0
2014-06-09,165.0,162.0,156.0,156.0,-5.45,1015.0,159375.0,0
2014-06-11,156.0,153.0,153.0,153.0,-1.92,521.0,79713.0,0
2014-06-12,153.0,150.0,150.0,150.0,-1.96,180.0,27000.0,0
2014-06-15,150.0,150.0,150.0,150.0,0.0,66.0,9900.0,0
2014-06-16,150.0,156.0,153.0,156.0,4.00,989.0,153558.0,0
2014-06-18,156.0,154.0,150.0,150.0,-3.85,283.0,42933.0,0
2014-06-24,150.0,153.0,153.0,153.0,2.00,1000.0,153000.0,0
2014-06-26,153.0,156.0,154.0,154.0,0.65,1316.0,204602.0,0
2014-06-29,154.0,157.0,157.0,157.0,1.95,555.0,87135.0,0
2014-06-30,157.0,163.0,160.0,163.0,3.82,325.0,52495.0,0
2014-07-07,163.0,179.0,166.0,179.0,9.82,170.0,29710.0,0
2014-07-08,179.0,196.0,182.0,196.0,9.50,200.0,38400.0,0
2014-07-09,196.0,215.0,199.0,214.0,9.18,3371.0,716159.0,0
2014-07-10,214.0,218.0,214.0,214.0,0.0,547.0,118555.0,0
2014-07-14,214.0,218.0,218.0,218.0,1.87,206.0,44908.0,0
2014-07-15,218.0,220.0,220.0,220.0,0.92,105.0,23100.0,0
2014-07-21,220.0,234.0,224.0,234.0,6.36,4143.0,944285.0,0
2014-07-22,234.0,242.0,238.0,242.0,3.42,1573.0,374944.0,0
2014-07-23,242.0,240.0,237.0,238.0,-1.65,4473.0,1062753.0,0
2014-07-24,238.0,239.0,231.0,239.0,0.42,1698.0,397371.0,0
2014-07-27,239.0,255.0,243.0,250.0,4.60,3871.0,963819.0,0
2014-07-30,250.0,254.0,245.0,254.0,1.60,833.0,206205.0,0
2014-07-31,254.0,249.0,249.0,249.0,-1.97,249.0,62001.0,0
2014-08-03,249.0,272.0,253.0,272.0,9.24,4030.0,1060337.0,0
2014-08-04,272.0,267.0,267.0,267.0,-1.84,40.0,10680.0,0
2014-08-06,267.0,272.0,272.0,272.0,1.87,596.0,162112.0,0
2014-08-14,272.0,267.0,262.0,262.0,-3.68,1032.0,270854.0,0
2014-08-20,262.0,257.0,252.0,252.0,-3.82,153.0,39056.0,0
2014-12-10,252.0,247.0,247.0,247.0,-1.98,143.0,35321.0,0
2014-12-11,247.0,260.0,243.0,260.0,5.26,416.0,102880.0,0
2015-01-27,245.0,253.0,249.0,253.0,-2.69,20.0,5020.0,0
2015-01-28,253.0,248.0,248.0,248.0,-1.98,15.0,3720.0,0
2015-02-03,248.0,244.0,244.0,244.0,-1.61,60.0,14640.0,0
2015-02-04,244.0,240.0,224.0,225.0,-7.79,5947.0,1347481.0,0
2015-02-05,225.0,221.0,213.0,217.0,-3.56,1405.0,305301.0,0
2015-02-08,217.0,217.0,217.0,217.0,0.0,160.0,34720.0,0
2015-02-10,217.0,213.0,213.0,213.0,-1.84,176.0,37488.0,0
2015-02-11,213.0,217.0,213.0,217.0,1.88,1413.0,303849.0,0
2015-02-12,217.0,223.0,220.0,222.0,2.30,12752.0,2820944.0,0
2015-02-15,222.0,222.0,218.0,222.0,0.0,35.0,7710.0,0
2015-02-16,222.0,218.0,214.0,214.0,-3.60,4000.0,864000.0,0
2015-02-16,222.0,218.0,214.0,214.0,0.0,4000.0,864000.0,0
2015-02-18,214.0,224.0,218.0,224.0,4.67,793.0,177192.0,0
2015-02-24,224.0,226.0,219.0,219.0,-2.23,2010.0,443260.0,0
2015-02-25,219.0,223.0,222.0,223.0,1.83,202.0,44914.0,0
2015-03-02,223.0,220.0,215.0,220.0,-1.35,4000.0,872500.0,0
2015-03-03,220.0,216.0,216.0,216.0,-1.82,1000.0,216000.0,0
2015-03-04,216.0,220.0,215.0,215.0,-0.46,2198.0,474560.0,0
2015-03-09,215.0,231.0,218.0,231.0,7.44,6378.0,1428123.0,0
2015-03-10,231.0,239.0,230.0,230.0,-0.43,3765.0,881801.0,0
2015-03-11,230.0,236.0,230.0,236.0,2.61,1249.0,289390.0,0
2015-03-12,236.0,240.0,232.0,240.0,1.69,1540.0,358040.0,0
2015-03-15,240.0,236.0,236.0,236.0,-1.67,358.0,84488.0,0
2015-03-16,236.0,233.0,230.0,230.0,-2.54,2561.0,591380.0,0
2015-03-17,230.0,226.0,226.0,226.0,-1.74,2281.0,515506.0,0
2015-03-18,226.0,226.0,222.0,226.0,0.0,98.0,21908.0,0
2015-03-22,226.0,230.0,230.0,230.0,1.77,1828.0,420440.0,0
2015-03-23,230.0,226.0,218.0,226.0,-1.74,467.0,103210.0,0
2015-03-24,226.0,222.0,222.0,222.0,-1.77,449.0,99678.0,0
2015-03-25,222.0,226.0,222.0,226.0,1.80,1063.0,237446.0,0
2015-03-26,226.0,225.0,222.0,222.0,-1.77,550.0,122250.0,0
2015-03-29,222.0,223.0,222.0,223.0,0.45,300.0,66800.0,0
2015-03-30,223.0,219.0,219.0,219.0,-1.79,1841.0,403179.0,0
2015-03-31,219.0,223.0,222.0,223.0,1.83,2034.0,453063.0,0
2015-04-02,223.0,220.0,219.0,219.0,-1.79,250.0,54800.0,0
2015-04-07,219.0,216.0,216.0,216.0,-1.37,34.0,7344.0,0
2015-04-12,216.0,220.0,220.0,220.0,1.85,1242.0,273240.0,0
2015-04-13,220.0,222.0,222.0,222.0,0.91,544.0,120768.0,0
2015-04-15,222.0,218.0,218.0,218.0,-1.80,600.0,130800.0,0
2015-04-19,218.0,215.0,214.0,214.0,-1.83,591.0,126804.0,0
2015-04-21,214.0,212.0,212.0,212.0,-0.93,41.0,8692.0,0
2015-05-27,212.0,212.0,212.0,212.0,0.0,18.0,3816.0,0
2015-06-03,212.0,212.0,208.0,208.0,-1.89,531.0,110972.0,0
2015-06-04,208.0,208.0,205.0,208.0,0.0,1300.0,268900.0,0
2015-06-07,208.0,208.0,208.0,208.0,0.0,500.0,104000.0,0
2015-06-08,208.0,210.0,208.0,210.0,0.96,1926.0,401460.0,0
2015-06-08,208.0,210.0,208.0,210.0,0.0,1926.0,401460.0,0
2015-06-08,208.0,210.0,208.0,210.0,0.0,1926.0,401460.0,0
2015-06-09,210.0,218.0,214.0,218.0,3.81,527.0,112978.0,0
2015-06-11,218.0,214.0,214.0,214.0,-1.83,100.0,21400.0,0
2015-06-14,214.0,210.0,206.0,207.0,-3.27,8009.0,1654863.0,0
2015-06-16,207.0,207.0,203.0,207.0,0.0,781.0,160467.0,0
2015-06-25,207.0,208.0,202.0,202.0,-2.42,1373.0,281834.0,0
2015-06-28,202.0,204.0,200.0,204.0,0.99,729.0,146600.0,0
2015-07-01,204.0,205.0,200.0,205.0,0.49,215.0,43200.0,0
2015-07-02,205.0,201.0,201.0,201.0,-1.95,125.0,25125.0,0
2015-07-05,201.0,203.0,201.0,201.0,0.0,587.0,118419.0,0
2015-07-07,201.0,203.0,201.0,203.0,1.00,541.0,109341.0,0
2015-07-12,203.0,203.0,203.0,203.0,0.0,210.0,42630.0,0
2015-07-13,203.0,204.0,200.0,204.0,0.49,1396.0,279818.0,0
2015-07-14,204.0,202.0,201.0,201.0,-1.47,5227.0,1050967.0,0
2015-07-15,201.0,205.0,201.0,201.0,0.0,351.0,71177.0,0
2015-07-16,201.0,205.0,201.0,205.0,1.99,590.0,120158.0,0
2015-07-22,205.0,213.0,209.0,213.0,3.90,1783.0,375500.0,0
2015-07-23,213.0,225.0,217.0,225.0,5.63,2964.0,656651.0,0
2015-07-26,225.0,245.0,229.0,245.0,8.89,845.0,203137.0,0
2015-07-27,245.0,249.0,244.0,245.0,0.0,977.0,241473.0,0
2015-07-28,245.0,253.0,234.0,234.0,-4.49,8190.0,1991125.0,0
2015-07-29,234.0,232.0,228.0,230.0,-1.71,2103.0,481334.0,0
2015-07-30,230.0,244.0,231.0,234.0,1.74,6110.0,1458376.0,0
2015-08-03,234.0,231.0,230.0,231.0,-1.28,665.0,153115.0,0
2015-08-04,231.0,231.0,227.0,231.0,0.0,270.0,61690.0,0
2015-08-05,231.0,234.0,234.0,234.0,1.30,100.0,23400.0,0
2015-08-11,234.0,232.0,232.0,232.0,-0.85,485.0,112520.0,0
