published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-12-08,517.50,538.00,500.00,538.00,1.89,5559.00,2843827.50,1
2021-12-09,527.30,530.00,507.00,520.00,-3.35,3576.00,1841363.00,-1
2021-12-12,509.60,509.60,470.10,506.00,-2.69,6650.00,3252850.00,-1
2021-12-13,495.90,495.90,458.00,477.00,-5.73,5768.00,2691366.00,-1
2021-12-14,485.00,518.50,458.20,518.50,8.70,9465.00,4646099.00,1
2021-12-15,519.00,528.80,490.10,519.00,0.10,14255.00,7320306.50,1
2021-12-16,508.70,508.70,480.00,480.00,-7.51,4875.00,2390478.00,-1
2021-12-20,470.40,471.20,441.10,452.00,-5.83,7119.00,3215133.90,-1
2021-12-21,457.00,459.00,436.40,443.00,-1.99,8661.00,3849123.30,-1
2021-12-22,451.80,470.00,444.00,447.00,0.90,4255.00,1954094.00,1
2021-12-23,455.00,468.00,444.90,448.00,0.22,6635.00,2995650.30,1
2021-12-26,456.00,463.00,442.10,445.90,-0.47,4808.00,2162715.00,-1
2021-12-27,453.90,453.90,416.50,430.00,-3.57,4649.00,2007627.30,-1
2021-12-28,434.00,434.00,409.00,409.00,-4.88,5055.00,2111389.00,-1
2021-12-29,417.10,430.00,409.00,416.80,1.91,4132.00,1730523.00,1
2022-01-02,425.00,425.00,410.00,420.00,0.77,1877.00,783187.20,1
2022-01-03,411.60,436.00,411.60,423.30,0.79,2710.00,1134084.00,1
2022-01-04,422.00,428.00,415.10,428.00,1.11,3112.00,1316003.00,1
2022-01-05,428.00,462.70,427.80,445.00,3.97,10708.00,4758177.40,1
2022-01-06,445.00,474.30,428.00,474.30,6.58,7956.00,3649732.50,1
2022-01-09,475.00,503.80,466.10,503.70,6.20,12336.00,6079912.40,1
2022-01-10,493.70,525.00,484.00,518.80,3.00,4536.00,2323382.00,1
2022-01-11,510.00,525.00,498.00,520.00,0.23,5392.00,2759468.50,1
2022-01-12,530.40,542.00,490.00,542.00,4.23,23881.00,12143520.40,1
2022-01-13,532.00,543.00,513.00,537.50,-0.83,7312.00,3878941.50,-1
