published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2013-07-29,700.0,714.0,700.0,713.0,nan,12604.0,8939723.0,0
2013-07-30,713.0,739.0,710.0,733.0,2.81,11888.0,8590758.0,0
2013-07-31,733.0,743.0,720.0,732.0,-0.14,16045.0,11787525.0,0
2013-08-01,732.0,746.0,722.0,726.0,-0.82,16832.0,12302375.0,0
2013-08-04,726.0,730.0,710.0,710.0,-2.20,13593.0,9764636.0,0
2013-08-05,710.0,710.0,690.0,702.0,-1.13,10674.0,7425449.0,0
2013-08-06,702.0,707.0,662.0,700.0,-0.28,10700.0,7376725.0,0
2013-08-07,700.0,707.0,686.0,690.0,-1.43,9805.0,6753569.0,0
2013-08-08,690.0,690.0,670.0,670.0,-2.90,21368.0,14503554.0,0
2013-08-11,670.0,670.0,660.0,663.0,-1.04,6558.0,4354716.0,0
2013-08-12,663.0,664.0,655.0,657.0,-0.90,5132.0,3383283.0,0
2013-08-13,657.0,665.0,650.0,658.0,0.15,4580.0,3018553.0,0
2013-08-14,658.0,655.0,628.0,628.0,-4.56,10225.0,6616400.0,0
2013-08-15,628.0,628.0,604.0,614.0,-2.23,10293.0,6374502.0,0
2013-08-18,614.0,642.0,614.0,638.0,3.91,8933.0,5678281.0,0
2013-08-19,638.0,649.0,632.0,640.0,0.31,4023.0,2567553.0,0
2013-08-20,640.0,652.0,635.0,647.0,1.09,11568.0,7471614.0,0
2013-08-25,647.0,647.0,638.0,644.0,-0.46,6208.0,3985282.0,0
2013-08-26,644.0,645.0,628.0,631.0,-2.02,6237.0,3933815.0,0
2013-08-27,631.0,650.0,626.0,640.0,1.43,11433.0,7327615.0,0
2013-08-29,640.0,645.0,631.0,638.0,-0.31,23136.0,14663564.0,0
2013-09-01,638.0,638.0,630.0,635.0,-0.47,7678.0,4853161.0,0
2013-09-02,635.0,641.0,626.0,635.0,0.0,10758.0,6836257.0,0
2013-09-03,635.0,638.0,629.0,630.0,-0.79,20263.0,12768397.0,0
2013-09-04,630.0,642.0,622.0,625.0,-0.79,3978.0,2486535.0,0
2013-09-05,625.0,625.0,621.0,625.0,0.0,4271.0,2663930.0,0
2013-09-08,625.0,634.0,620.0,621.0,-0.64,21774.0,13534549.0,0
2013-09-09,621.0,634.0,620.0,633.0,1.93,8818.0,5556509.0,0
2013-09-10,633.0,638.0,620.0,620.0,-2.05,5479.0,3447803.0,0
2013-09-11,620.0,625.0,616.0,625.0,0.81,8212.0,5103595.0,0
2013-09-12,625.0,622.0,619.0,622.0,-0.48,1797.0,1114701.0,0
2013-09-15,622.0,623.0,618.0,618.0,-0.64,4941.0,3066631.0,0
2013-09-16,618.0,617.0,605.0,615.0,-0.49,3632.0,2224259.0,0
2013-09-17,615.0,614.0,608.0,611.0,-0.65,6735.0,4118403.0,0
2013-09-19,611.0,610.0,600.0,610.0,-0.16,5987.0,3602338.0,0
2013-09-22,598.0,598.0,587.0,594.0,-2.62,2361.0,1399735.0,0
2013-09-23,594.0,596.0,584.0,596.0,0.34,6184.0,3643762.0,0
2013-09-24,596.0,604.0,597.0,603.0,1.17,5223.0,3139471.0,0
2013-09-25,603.0,598.0,590.0,598.0,-0.83,3376.0,2008305.0,0
2013-09-26,598.0,605.0,593.0,594.0,-0.67,2222.0,1322867.0,0
2013-09-29,594.0,594.0,588.0,593.0,-0.17,5097.0,3009815.0,0
2013-09-30,593.0,590.0,581.0,584.0,-1.52,2382.0,1395864.0,0
2013-10-01,584.0,589.0,581.0,584.0,0.0,3171.0,1856604.0,0
2013-10-02,584.0,596.0,579.0,595.0,1.88,1017.0,594448.0,0
2013-10-03,595.0,595.0,584.0,595.0,0.0,2064.0,1215128.0,0
2013-10-06,595.0,607.0,587.0,607.0,2.02,2617.0,1562656.0,0
2013-10-07,607.0,646.0,599.0,622.0,2.47,431.0,264381.0,0
2013-10-08,622.0,617.0,605.0,615.0,-1.13,1616.0,987970.0,0
2013-10-09,615.0,615.0,595.0,615.0,0.0,944.0,575065.0,0
2013-10-10,615.0,620.0,603.0,620.0,0.81,2612.0,1609031.0,0
2013-10-17,620.0,647.0,620.0,635.0,2.42,2059.0,1310164.0,0
2013-10-20,635.0,663.0,635.0,660.0,3.94,7738.0,5082452.0,0
2013-10-21,660.0,693.0,652.0,666.0,0.91,9821.0,6676177.0,0
2013-10-22,666.0,665.0,645.0,645.0,-3.15,9367.0,6115328.0,0
2013-10-23,645.0,644.0,635.0,640.0,-0.78,3207.0,2053265.0,0
2013-10-24,640.0,641.0,630.0,638.0,-0.31,4392.0,2791280.0,0
2013-10-27,638.0,643.0,610.0,627.0,-1.72,20010.0,12236459.0,0
2013-10-28,627.0,621.0,613.0,620.0,-1.12,4234.0,2613891.0,0
2013-10-29,620.0,640.0,618.0,630.0,1.61,7580.0,4712523.0,0
2013-10-30,630.0,641.0,616.0,641.0,1.75,4278.0,2723268.0,0
2013-10-31,641.0,645.0,622.0,630.0,-1.72,13446.0,8512122.0,0
2013-11-06,630.0,627.0,615.0,627.0,-0.48,1100.0,683804.0,0
2013-11-07,627.0,655.0,628.0,635.0,1.28,3833.0,2431873.0,0
2013-11-10,635.0,642.0,630.0,630.0,-0.79,5508.0,3496064.0,0
2013-11-11,630.0,654.0,627.0,654.0,3.81,5107.0,3235670.0,0
2013-11-12,654.0,685.0,650.0,655.0,0.15,6554.0,4324170.0,0
2013-11-13,655.0,667.0,636.0,645.0,-1.53,17494.0,11386938.0,0
2013-11-14,645.0,647.0,639.0,647.0,0.31,6439.0,4139524.0,0
2013-11-21,647.0,708.0,659.0,695.0,7.42,7277.0,4963838.0,0
2013-11-24,695.0,764.0,687.0,698.0,0.43,18544.0,13237078.0,0
2013-11-25,698.0,698.0,664.0,668.0,-4.30,9430.0,6404833.0,0
2013-11-26,668.0,685.0,660.0,671.0,0.45,7622.0,5109158.0,0
2013-11-27,671.0,675.0,651.0,658.0,-1.94,2173.0,1423523.0,0
2013-11-28,658.0,660.0,640.0,651.0,-1.06,7138.0,4639022.0,0
2013-12-01,651.0,662.0,645.0,650.0,-0.15,107794.0,70097312.0,0
2013-12-02,650.0,693.0,650.0,670.0,3.08,31973.0,21288060.0,0
2013-12-03,670.0,695.0,682.0,692.0,3.28,21886.0,15079241.0,0
2013-12-04,692.0,732.0,691.0,715.0,3.32,31863.0,22837826.0,0
2013-12-05,715.0,743.0,706.0,724.0,1.26,60375.0,43795456.0,0
2013-12-08,724.0,726.0,700.0,710.0,-1.93,15956.0,11355767.0,0
2013-12-09,710.0,719.0,705.0,709.0,-0.14,5129.0,3639540.0,0
2013-12-10,709.0,709.0,691.0,700.0,-1.27,7355.0,5151109.0,0
2013-12-11,700.0,720.0,703.0,711.0,1.57,16483.0,11723083.0,0
2013-12-12,711.0,724.0,697.0,724.0,1.83,30679.0,21865344.0,0
2013-12-15,724.0,745.0,709.0,742.0,2.49,59921.0,43439980.0,0
2013-12-16,742.0,816.0,756.0,816.0,9.97,36619.0,29625752.0,0
2013-12-18,816.0,897.0,824.0,897.0,9.93,41249.0,36551052.0,0
2013-12-19,897.0,900.0,808.0,879.0,-2.01,60364.0,50943220.0,0
2013-12-22,875.0,875.0,810.0,836.0,-4.89,52786.0,43670576.0,0
2013-12-23,836.0,825.0,775.0,783.0,-6.34,29079.0,22916284.0,0
2013-12-24,783.0,832.0,764.0,803.0,2.55,24385.0,19329050.0,0
2013-12-26,803.0,860.0,815.0,815.0,1.49,22385.0,18687308.0,0
2013-12-29,815.0,818.0,794.0,815.0,0.0,28367.0,22714024.0,0
2013-12-31,815.0,816.0,799.0,806.0,-1.10,21248.0,17152298.0,0
2014-01-01,806.0,807.0,775.0,786.0,-2.48,15632.0,12348541.0,0
2014-01-02,786.0,810.0,765.0,804.0,2.29,7593.0,6018227.0,0
2014-01-05,804.0,805.0,791.0,795.0,-1.12,16534.0,13180832.0,0
2014-01-06,795.0,796.0,790.0,792.0,-0.38,6700.0,5307085.0,0
2014-01-07,792.0,804.0,790.0,799.0,0.88,6021.0,4796544.0,0
2014-01-08,799.0,805.0,795.0,796.0,-0.38,10346.0,8272575.0,0
2014-01-09,796.0,800.0,792.0,799.0,0.38,6608.0,5256372.0,0
2014-01-12,799.0,825.0,800.0,817.0,2.25,18527.0,15105432.0,0
2014-01-13,817.0,835.0,811.0,817.0,0.0,12308.0,10092924.0,0
2014-01-14,817.0,814.0,800.0,814.0,-0.37,3326.0,2695682.0,0
2014-01-16,814.0,838.0,815.0,820.0,0.74,9127.0,7507979.0,0
2014-01-19,820.0,825.0,805.0,818.0,-0.24,3190.0,2618603.0,0
2014-01-20,818.0,824.0,800.0,800.0,-2.20,6879.0,5575108.0,0
2014-01-21,800.0,806.0,785.0,796.0,-0.50,14635.0,11707858.0,0
2014-01-22,796.0,800.0,766.0,790.0,-0.75,20517.0,16008345.0,0
2014-01-23,790.0,790.0,779.0,787.0,-0.38,4680.0,3679811.0,0
2014-01-26,787.0,800.0,782.0,791.0,0.51,8519.0,6743396.0,0
2014-01-27,791.0,800.0,780.0,792.0,0.13,6808.0,5355910.0,0
2014-01-28,792.0,800.0,777.0,792.0,0.0,13553.0,10714786.0,0
2014-01-29,792.0,791.0,779.0,781.0,-1.39,10585.0,8295129.0,0
2014-02-02,781.0,789.0,770.0,780.0,-0.13,11892.0,9243302.0,0
2014-02-03,780.0,779.0,765.0,775.0,-0.64,16812.0,12971006.0,0
2014-02-04,775.0,779.0,750.0,779.0,0.52,18976.0,14553486.0,0
