published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2017-01-31,490.0,498.0,476.0,480.0,nan,641.0,310316.0,0
2017-02-01,480.0,489.0,471.0,489.0,1.88,547.0,264241.0,0
2017-02-02,489.0,491.0,480.0,480.0,-1.84,800.0,389960.0,0
2017-02-05,480.0,489.0,472.0,475.0,-1.04,690.0,327660.0,0
2017-02-06,475.0,475.0,470.0,470.0,-1.05,340.0,160050.0,0
2017-02-07,470.0,471.0,471.0,471.0,0.21,298.0,140358.0,0
2017-02-08,471.0,473.0,473.0,473.0,0.42,110.0,52030.0,0
2017-02-09,473.0,464.0,445.0,445.0,-5.92,350.0,157789.0,0
2017-02-12,445.0,440.0,419.0,419.0,-5.84,415.0,178220.0,0
2017-02-13,419.0,411.0,400.0,400.0,-4.53,340.0,138540.0,0
2017-02-14,400.0,401.0,395.0,395.0,-1.25,580.0,232060.0,0
2017-02-15,395.0,397.0,381.0,397.0,0.51,1486.0,583565.0,0
2017-02-16,397.0,402.0,395.0,395.0,-0.50,748.0,298492.0,0
2017-02-19,395.0,402.0,402.0,402.0,1.77,100.0,40200.0,0
2017-02-20,402.0,415.0,402.0,415.0,3.23,200.0,81780.0,0
2017-02-21,415.0,423.0,410.0,418.0,0.72,906.0,376238.0,0
2017-02-22,418.0,421.0,418.0,418.0,0.0,150.0,63000.0,0
2017-02-23,418.0,410.0,408.0,408.0,-2.39,110.0,44900.0,0
2017-02-26,408.0,416.0,400.0,408.0,0.0,430.0,177410.0,0
2017-02-28,408.0,408.0,400.0,401.0,-1.72,230.0,92550.0,0
2017-03-01,401.0,393.0,373.0,373.0,-6.98,178.0,68515.0,0
2017-03-02,373.0,394.0,380.0,394.0,5.63,450.0,171420.0,0
2017-03-05,394.0,410.0,398.0,410.0,4.06,476.0,192660.0,0
2017-03-06,410.0,418.0,410.0,418.0,1.95,157.0,65418.0,0
2017-03-07,418.0,416.0,416.0,416.0,-0.48,22.0,9152.0,0
2017-03-09,416.0,420.0,413.0,420.0,0.96,254.0,105980.0,0
2017-03-14,420.0,420.0,411.0,411.0,-2.14,353.0,147400.0,0
2017-03-15,411.0,412.0,400.0,400.0,-2.68,150.0,60550.0,0
2017-03-16,400.0,410.0,402.0,410.0,2.50,100.0,40670.0,0
2017-03-19,410.0,405.0,405.0,405.0,-1.22,50.0,20250.0,0
2017-03-20,405.0,410.0,410.0,410.0,1.23,21.0,8610.0,0
2017-03-21,410.0,420.0,411.0,420.0,2.44,261.0,108341.0,0
2017-03-22,420.0,427.0,425.0,427.0,1.67,60.0,25600.0,0
2017-03-23,427.0,442.0,427.0,442.0,3.51,310.0,135400.0,0
2017-03-26,442.0,459.0,450.0,450.0,1.81,126.0,57150.0,0
2017-03-28,450.0,480.0,459.0,480.0,6.67,237.0,112068.0,0
2017-03-29,480.0,494.0,484.0,494.0,2.92,182.0,88735.0,0
2017-03-30,494.0,502.0,485.0,502.0,1.62,360.0,178590.0,0
2017-04-02,502.0,510.0,507.0,510.0,1.59,31.0,15747.0,0
2017-04-03,510.0,510.0,475.0,475.0,-6.86,601.0,294590.0,0
2017-04-04,475.0,484.0,465.0,466.0,-1.89,284.0,134600.0,0
2017-04-06,466.0,512.0,475.0,512.0,9.87,547.0,278724.0,0
2017-04-09,512.0,563.0,522.0,563.0,9.96,1397.0,778906.0,0
2017-04-10,563.0,619.0,574.0,619.0,9.95,6060.0,3738598.0,0
2017-04-11,619.0,680.0,630.0,680.0,9.85,1509.0,1021574.0,0
2017-04-12,680.0,748.0,693.0,748.0,10.00,5115.0,3807985.0,0
2017-04-13,748.0,822.0,706.0,725.0,-3.07,4966.0,3725719.0,0
2017-04-16,725.0,797.0,653.0,653.0,-9.93,1188.0,856652.0,0
2017-04-18,653.0,641.0,591.0,629.0,-3.68,2761.0,1697747.0,0
2017-04-19,629.0,681.0,618.0,681.0,8.27,1733.0,1138906.0,0
2017-04-20,681.0,733.0,694.0,720.0,5.73,2016.0,1450309.0,0
2017-04-23,720.0,734.0,720.0,720.0,0.0,1501.0,1083320.0,0
2017-04-24,720.0,715.0,685.0,707.0,-1.81,1794.0,1260767.0,0
2017-04-25,707.0,710.0,695.0,699.0,-1.13,1484.0,1041543.0,0
2017-04-26,699.0,703.0,687.0,691.0,-1.14,926.0,643024.0,0
2017-04-27,691.0,701.0,680.0,689.0,-0.29,572.0,395327.0,0
2017-04-30,689.0,702.0,652.0,675.0,-2.03,1292.0,870291.0,0
2017-05-02,675.0,690.0,640.0,640.0,-5.19,2016.0,1323760.0,0
2017-05-03,640.0,695.0,652.0,695.0,8.59,1166.0,799413.0,0
2017-05-04,695.0,695.0,670.0,676.0,-2.73,1808.0,1226987.0,0
2017-05-07,676.0,665.0,646.0,646.0,-4.44,571.0,376775.0,0
2017-05-08,646.0,655.0,630.0,633.0,-2.01,310.0,197360.0,0
2017-05-09,633.0,660.0,645.0,650.0,2.69,257.0,167949.0,0
2017-05-11,650.0,651.0,625.0,637.0,-2.00,993.0,632770.0,0
2017-05-15,637.0,640.0,627.0,639.0,0.31,351.0,221550.0,0
2017-05-16,639.0,669.0,620.0,656.0,2.66,117.0,74885.0,0
2017-05-17,656.0,665.0,640.0,640.0,-2.44,187.0,121540.0,0
2017-05-18,640.0,635.0,631.0,633.0,-1.09,293.0,185833.0,0
2017-05-21,633.0,645.0,633.0,645.0,1.90,894.0,571696.0,0
2017-05-22,645.0,646.0,642.0,644.0,-0.16,120.0,77170.0,0
2017-05-23,644.0,652.0,640.0,644.0,0.0,121.0,77790.0,0
2017-05-24,644.0,650.0,632.0,650.0,0.93,532.0,342598.0,0
2017-05-28,650.0,650.0,620.0,621.0,-4.46,524.0,330374.0,0
2017-05-30,621.0,642.0,620.0,620.0,-0.16,693.0,436000.0,0
2017-05-31,620.0,682.0,610.0,682.0,10.00,2823.0,1887233.0,0
2017-06-01,682.0,722.0,695.0,710.0,4.11,4897.0,3500182.0,0
2017-06-04,710.0,735.0,715.0,726.0,2.25,2486.0,1808186.0,0
2017-06-05,726.0,739.0,716.0,733.0,0.96,2162.0,1579076.0,0
2017-06-06,733.0,750.0,730.0,735.0,0.27,1336.0,983225.0,0
2017-06-07,735.0,749.0,721.0,725.0,-1.36,344.0,251595.0,0
2017-06-08,725.0,739.0,715.0,726.0,0.14,973.0,702285.0,0
2017-06-11,726.0,745.0,720.0,720.0,-0.83,2452.0,1811054.0,0
2017-06-12,720.0,720.0,695.0,695.0,-3.47,471.0,334435.0,0
2017-06-13,695.0,710.0,686.0,708.0,1.87,932.0,653644.0,0
2017-06-14,708.0,720.0,696.0,720.0,1.69,1053.0,740030.0,0
2017-06-15,720.0,710.0,675.0,675.0,-6.25,1531.0,1072740.0,0
2017-06-18,675.0,688.0,675.0,675.0,0.0,255.0,174600.0,0
2017-06-19,675.0,688.0,675.0,675.0,0.0,90.0,61140.0,0
2017-06-20,675.0,675.0,675.0,675.0,0.0,165.0,111375.0,0
2017-06-21,675.0,676.0,657.0,657.0,-2.67,279.0,187845.0,0
2017-06-22,657.0,644.0,630.0,630.0,-4.11,418.0,265860.0,0
2017-06-25,630.0,642.0,622.0,640.0,1.59,113.0,72080.0,0
2017-06-27,640.0,640.0,631.0,635.0,-0.78,340.0,217200.0,0
2017-06-28,635.0,638.0,615.0,638.0,0.47,350.0,219640.0,0
2017-07-02,638.0,630.0,626.0,626.0,-1.88,130.0,81780.0,0
2017-07-04,626.0,630.0,616.0,620.0,-0.96,130.0,80530.0,0
2017-07-05,620.0,616.0,600.0,611.0,-1.45,365.0,222690.0,0
2017-07-06,611.0,630.0,610.0,630.0,3.11,130.0,80800.0,0
2017-07-09,630.0,642.0,625.0,626.0,-0.63,247.0,155744.0,0
2017-07-10,626.0,620.0,608.0,612.0,-2.24,140.0,86040.0,0
2017-07-11,612.0,630.0,600.0,625.0,2.12,1221.0,740197.0,0
