published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-11-26,171.0,182.0,163.0,165.0,-2.94,176095.0,30188044.0,-1
2020-11-29,167.0,170.0,160.0,164.0,-0.61,72630.0,11918630.0,-1
2020-11-30,164.0,171.0,159.0,169.0,3.05,85580.0,14080840.0,1
2020-12-01,167.0,171.0,160.0,163.0,-3.55,69010.0,11297270.0,-1
2020-12-02,161.0,170.0,158.0,161.0,-1.23,57005.0,9175181.0,-1
2020-12-03,164.0,165.0,159.0,159.0,-1.24,71987.0,11535653.0,-1
2020-12-06,156.0,171.0,152.0,152.0,-4.4,49295.0,7604955.0,-1
2020-12-07,155.0,158.0,152.0,157.0,3.29,31125.0,4828475.0,1
2020-12-08,160.0,163.0,156.0,159.0,1.27,47902.0,7646481.0,1
2020-12-09,166.0,168.0,159.0,162.0,1.89,104746.0,17117124.0,1
2020-12-10,160.0,165.0,157.0,162.0,0.0,36137.0,5815996.0,0
2020-12-13,165.0,165.0,156.0,160.0,-1.23,62850.0,10031063.0,-1
2020-12-14,162.0,166.0,157.0,157.0,-1.88,34291.0,5439940.0,-1
2020-12-15,160.0,160.0,155.0,158.0,0.64,36110.0,5648811.0,1
2020-12-16,155.0,159.0,153.0,155.0,-1.9,12840.0,1991430.0,-1
2020-12-17,153.0,155.0,148.0,153.0,-1.29,69225.0,10472885.0,-1
2020-12-20,150.0,155.0,140.0,142.0,-7.19,20990.0,3060890.0,-1
2020-12-21,140.0,148.0,129.0,139.0,-2.11,23675.0,3307080.0,-1
2020-12-22,145.0,152.0,143.0,147.0,5.76,22635.0,3301390.0,1
2020-12-23,147.0,149.0,140.0,140.0,-4.76,20196.0,2889230.0,-1
2020-12-24,142.0,147.0,141.0,141.0,0.71,10750.0,1549580.0,1
2020-12-27,141.0,145.0,141.0,142.0,0.71,10252.0,1464524.0,1
2020-12-28,143.0,146.0,141.0,141.0,-0.7,5155.0,739130.0,-1
2020-12-29,141.0,147.0,141.0,143.0,1.42,23640.0,3386680.0,1
2020-12-30,145.0,150.0,141.0,146.0,2.1,34885.0,5108995.0,1
2020-12-31,148.0,154.0,146.0,152.0,4.11,62785.0,9495985.0,1
2021-01-03,152.0,155.0,147.0,147.0,-3.29,28170.0,4251065.0,-1
2021-01-04,149.0,153.0,147.0,147.0,0.0,36896.0,5527871.0,0
2021-01-05,146.0,161.0,146.0,156.0,6.12,53023.0,8254573.0,1
2021-01-06,163.0,163.0,152.0,154.0,-1.28,13107.0,2036480.0,-1
2021-01-07,154.0,155.0,149.0,152.0,-1.3,23570.0,3559480.0,-1
2021-01-10,155.0,156.0,147.0,149.0,-1.97,18678.0,2799961.0,-1
2021-01-11,150.0,154.0,147.0,147.0,-1.34,16040.0,2377360.0,-1
2021-01-12,145.0,154.0,145.0,150.0,2.04,25095.0,3729410.0,1
2021-01-13,143.0,156.0,143.0,150.0,0.0,26253.0,3923125.0,0
2021-01-17,150.0,150.0,147.0,147.0,-2.0,20853.0,3090817.0,-1
2021-01-18,147.0,150.0,147.0,147.0,0.0,18435.0,2725590.0,0
2021-01-19,149.0,150.0,145.0,145.0,-1.36,26348.0,3834552.0,-1
2021-01-20,144.0,150.0,144.0,150.0,3.45,29909.0,4419522.0,1
2021-01-21,150.0,159.0,146.0,158.0,5.33,118302.0,18118992.0,1
2021-01-24,162.0,173.0,160.0,173.0,9.49,327084.0,55438870.0,1
2021-01-25,181.0,190.0,170.0,182.0,5.2,317708.0,57732944.0,1
2021-01-26,184.0,184.0,173.0,173.0,-4.95,106317.0,18699716.0,-1
2021-01-27,170.0,179.0,168.0,173.0,0.0,38962.0,6759866.0,0
2021-01-28,176.0,176.0,165.0,166.0,-4.05,62688.0,10583156.0,-1
2021-01-31,167.0,167.0,160.0,163.0,-1.81,70179.0,11413749.0,-1
2021-02-01,165.0,169.0,163.0,165.0,1.23,49517.0,8217882.0,1
2021-02-02,168.0,170.0,162.0,167.0,1.21,44598.0,7416985.0,1
2021-02-03,170.0,173.0,161.0,165.0,-1.2,100257.0,16751449.0,-1
2021-02-04,168.0,171.0,164.0,170.0,3.03,81866.0,13771840.0,1
2021-02-07,173.0,173.0,164.0,166.0,-2.35,124521.0,20795231.0,-1
2021-02-08,167.0,169.0,163.0,164.0,-1.2,65275.0,10796570.0,-1
2021-02-09,172.0,172.0,159.0,159.0,-3.05,71175.0,11501824.0,-1
2021-02-10,161.0,167.0,156.0,163.0,2.52,56308.0,9166930.0,1
2021-02-11,161.0,165.0,160.0,162.0,-0.61,47230.0,7634120.0,-1
2021-02-14,165.0,165.0,158.0,160.0,-1.23,36982.0,5954907.0,-1
2021-02-15,167.0,167.0,160.0,162.0,1.25,55874.0,9020532.0,1
2021-02-16,170.0,172.0,160.0,164.0,1.23,75654.0,12494937.0,1
2021-02-17,164.0,173.0,163.0,171.0,4.27,142722.0,24128163.0,1
2021-02-18,175.0,177.0,168.0,170.0,-0.58,104136.0,17745283.0,-1
2021-02-21,175.0,187.0,170.0,187.0,10.0,358581.0,65212930.0,1
2021-02-22,196.0,205.0,196.0,205.0,9.63,139609.0,28476480.0,1
2021-02-23,215.0,223.0,185.0,198.0,-3.41,343660.0,66503359.0,-1
2021-02-24,207.0,207.0,187.0,190.0,-4.04,154510.0,30021893.0,-1
2021-02-25,199.0,199.0,184.0,186.0,-2.11,50754.0,9538887.0,-1
2021-02-28,186.0,186.0,178.0,180.0,-3.23,92316.0,16765555.0,-1
2021-03-01,178.0,189.0,173.0,182.0,1.11,57873.0,10469875.0,1
2021-03-02,181.0,185.0,175.0,179.0,-1.65,46619.0,8296519.0,-1
2021-03-03,178.0,179.0,170.0,173.0,-3.35,42817.0,7431176.0,-1
2021-03-04,176.0,186.0,174.0,182.0,5.2,58025.0,10445944.0,1
2021-03-07,184.0,190.0,179.0,182.0,0.0,51492.0,9415477.0,0
2021-03-09,183.0,185.0,179.0,184.0,1.1,60640.0,11037922.0,1
2021-03-10,185.0,191.0,182.0,185.0,0.54,91273.0,17140803.0,1
2021-03-14,188.0,188.0,180.0,183.0,-1.08,48257.0,8824628.0,-1
2021-03-15,183.0,187.0,179.0,183.0,0.0,47781.0,8685809.0,0
2021-03-16,192.0,192.0,178.0,179.0,-2.19,35212.0,6375374.0,-1
2021-03-17,181.0,186.0,180.0,185.0,3.35,28475.0,5218955.0,1
2021-03-18,194.0,203.0,191.0,198.0,7.03,258180.0,50971512.0,1
2021-03-21,205.0,207.0,193.0,195.0,-1.52,96307.0,18915468.0,-1
2021-03-22,198.0,198.0,192.0,193.0,-1.03,88803.0,17217397.0,-1
2021-03-23,195.0,204.0,193.0,201.0,4.15,183460.0,36618016.0,1
2021-03-24,205.0,219.0,200.0,213.0,5.97,233794.0,49277994.0,1
2021-03-25,215.0,223.0,206.0,209.0,-1.88,109754.0,23327452.0,-1
2021-03-29,205.0,211.0,202.0,203.0,-2.87,90418.0,18607246.0,-1
2021-03-30,206.0,216.0,203.0,211.0,3.94,121032.0,25243457.0,1
2021-03-31,213.0,216.0,208.0,209.0,-0.95,54658.0,11528695.0,-1
2021-04-01,219.0,219.0,206.0,209.0,0.0,103170.0,21522534.0,0
2021-04-04,213.0,213.0,207.0,208.0,-0.48,88031.0,18425108.0,-1
2021-04-05,200.0,215.0,200.0,214.0,2.88,130198.0,27525840.0,1
2021-04-06,214.0,235.0,211.0,235.0,9.81,271366.0,60378420.0,1
2021-04-07,246.0,258.0,237.0,247.0,5.11,337063.0,83824149.0,1
2021-04-08,255.0,256.0,240.0,243.0,-1.62,154562.0,38031849.0,-1
2021-04-12,245.0,246.0,231.0,236.0,-2.88,122476.0,28861882.0,-1
2021-04-13,236.0,240.0,230.0,235.0,-0.42,84437.0,19971524.0,-1
2021-04-15,246.0,246.0,231.0,234.0,-0.43,66407.0,15573101.0,-1
2021-04-18,238.0,242.0,230.0,231.0,-1.28,65061.0,15163540.0,-1
2021-04-19,228.0,238.0,228.0,230.0,-0.43,71167.0,16650654.0,-1
2021-04-20,233.0,236.0,229.0,231.0,0.43,57378.0,13282165.0,1
2021-04-21,240.0,240.0,231.0,234.0,1.3,67197.0,15770973.0,1
2021-04-22,231.0,235.0,230.0,234.0,0.0,49394.0,11536849.0,0
2021-04-25,240.0,242.0,223.0,223.0,-4.7,96943.0,22145315.0,-1
2021-04-26,219.0,227.0,214.0,215.0,-3.59,90353.0,19670967.0,-1
2021-04-27,218.0,229.0,216.0,227.0,5.58,54183.0,12156573.0,1
2021-04-28,230.0,233.0,223.0,227.0,0.0,35285.0,7995215.0,0
2021-04-29,227.0,235.0,227.0,232.0,2.2,37218.0,8547246.0,1
2021-05-02,236.0,236.0,229.0,233.0,0.43,52995.0,12297796.0,1
2021-05-03,235.0,237.0,229.0,230.0,-1.29,59952.0,13923401.0,-1
2021-05-04,233.0,252.0,226.0,242.0,5.22,172918.0,41297198.0,1
2021-05-05,245.0,254.0,242.0,249.0,2.89,141718.0,35190099.0,1
2021-05-06,248.0,256.0,237.0,239.0,-4.02,125204.0,30602147.0,-1
2021-05-09,228.0,244.0,228.0,234.0,-2.09,45538.0,10815573.0,-1
2021-05-10,232.0,242.0,232.0,238.0,1.71,46415.0,11024432.0,1
2021-05-11,228.0,245.0,228.0,240.0,0.84,37878.0,9103994.0,1
2021-05-12,244.0,250.0,237.0,245.0,2.08,171245.0,41919058.0,1
2021-05-13,257.0,257.0,246.0,251.0,2.45,187048.0,47233889.0,1
2021-05-16,251.0,256.0,244.0,245.0,-2.39,117201.0,28936944.0,-1
2021-05-17,257.0,265.0,243.0,260.0,6.12,187710.0,47869469.0,1
2021-05-18,267.0,286.0,260.0,286.0,10.0,342025.0,95738969.0,1
2021-05-19,290.0,299.0,272.0,272.0,-4.9,189290.0,53248777.0,-1
2021-05-20,280.0,280.0,263.0,266.0,-2.21,130286.0,34896688.0,-1
2021-05-23,261.0,283.0,253.0,276.0,3.76,142748.0,38789153.0,1
2021-05-24,280.0,286.0,272.0,276.0,0.0,175306.0,49124123.0,0
2021-05-25,281.0,303.0,276.0,293.0,6.16,411162.0,119217096.0,1
2021-05-27,290.0,322.0,288.0,322.0,9.9,327619.0,103280495.0,1
2021-05-30,335.0,352.0,310.0,324.0,0.62,404927.0,134128259.0,1
2021-05-31,340.0,340.0,299.0,302.0,-6.79,276653.0,85477878.0,-1
2021-06-01,317.0,317.0,291.0,299.0,-0.99,106165.0,31637085.0,-1
2021-06-02,285.0,328.0,285.0,314.0,5.02,182958.0,56007949.0,1
2021-06-03,317.0,326.0,298.0,303.0,-3.5,128354.0,39585189.0,-1
2021-06-06,295.0,308.0,291.0,294.0,-2.97,111004.0,32741380.0,-1
2021-06-07,280.0,316.0,280.0,308.0,4.76,111949.0,34227984.0,1
