published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-12-08,467.0,467.0,427.5,441.0,-7.16,8150.0,3584326.0,-1
2021-12-09,432.3,440.0,418.5,425.0,-3.63,5381.0,2286022.4,-1
2021-12-12,415.0,415.0,393.0,393.0,-7.53,5492.0,2210806.0,-1
2021-12-13,386.0,386.0,354.0,367.0,-6.62,2565.0,947056.0,-1
2021-12-14,369.0,403.7,369.0,403.7,10.0,2640.0,1036305.0,1
2021-12-15,411.7,444.0,406.8,444.0,9.98,9896.0,4164791.0,1
2021-12-16,452.8,478.0,413.0,433.2,-2.43,4185.0,1838720.0,-1
2021-12-20,431.0,433.0,403.0,426.8,-1.48,3300.0,1362389.0,-1
2021-12-21,420.0,434.0,416.0,425.0,-0.42,2925.0,1231881.0,-1
2021-12-22,425.0,458.0,425.0,458.0,7.76,2975.0,1290767.0,1
2021-12-23,448.9,483.9,432.0,436.0,-4.8,3053.0,1358852.0,-1
2021-12-26,428.0,469.2,425.0,469.2,7.61,7185.0,3143846.0,1
2021-12-27,460.0,500.0,437.0,497.0,5.92,6118.0,2754088.6,1
2021-12-28,488.0,488.0,452.0,467.0,-6.04,1750.0,805222.0,-1
2021-12-29,457.7,457.7,442.0,457.0,-2.14,2218.0,996022.8,-1
2022-01-02,448.0,456.0,436.1,450.0,-1.53,5566.0,2475728.0,-1
2022-01-03,444.0,452.8,431.2,444.0,-1.33,2658.0,1171428.0,-1
2022-01-04,440.0,450.0,438.1,440.0,-0.9,2795.0,1238350.0,-1
2022-01-05,433.0,461.0,433.0,449.0,2.05,6134.0,2746149.0,1
2022-01-06,441.0,460.0,433.2,460.0,2.45,4320.0,1934114.0,1
2022-01-09,460.1,478.0,459.0,477.0,3.7,6378.0,2989245.5,1
2022-01-10,478.0,487.5,460.6,482.5,1.15,5537.0,2630780.0,1
2022-01-11,483.0,494.0,473.0,490.0,1.55,4209.0,2044088.0,1
2022-01-12,490.0,529.0,481.3,516.0,5.31,15164.0,7664193.0,1
2022-01-13,522.9,530.0,506.0,526.0,1.94,6682.0,3462993.0,1
2022-01-16,526.0,560.0,526.0,554.0,5.32,12203.0,6725697.5,1
2022-01-17,545.0,593.0,545.0,593.0,7.04,16925.0,9566105.5,1
2022-01-18,590.0,649.3,584.0,649.3,9.49,18009.0,10873677.8,1
2022-01-19,640.0,714.0,615.0,714.0,9.96,17399.0,11071333.5,1
2022-01-20,700.0,745.0,672.3,732.0,2.52,20034.0,14017860.0,1
2022-01-23,735.0,735.0,670.0,683.0,-6.69,30393.0,20919563.1,-1
2022-01-24,669.4,669.4,625.0,636.0,-6.88,14888.0,9651623.2,-1
2022-01-25,624.0,661.6,613.0,661.6,4.03,6585.0,4212254.0,1
2022-01-26,648.4,663.0,632.3,663.0,0.21,6553.0,4243178.2,1
2022-01-27,649.8,703.0,640.0,660.0,-0.45,10443.0,6941802.8,-1
2022-01-30,673.2,694.0,661.0,693.0,5.0,8330.0,5616889.7,1
