published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-07-28,126.0,126.0,126.0,126.0,nan,40.0,5040.0,0
2011-08-01,126.0,124.0,122.0,122.0,-3.17,120.0,14660.0,0
2011-08-03,122.0,122.0,120.0,120.0,-1.64,270.0,32600.0,0
2011-08-04,120.0,120.0,120.0,120.0,0.0,40.0,4800.0,0
2011-08-11,120.0,122.0,122.0,122.0,1.67,220.0,26840.0,0
2011-08-16,122.0,124.0,120.0,122.0,0.0,510.0,62300.0,0
2011-08-18,122.0,120.0,112.0,112.0,-8.20,270.0,31180.0,0
2011-08-22,112.0,110.0,101.0,103.0,-8.04,430.0,44760.0,0
2011-08-23,103.0,101.0,99.0,99.0,-3.88,310.0,31130.0,0
2011-08-24,99.0,100.0,98.0,100.0,1.01,750.0,74370.0,0
2011-08-25,100.0,102.0,100.0,101.0,1.00,80.0,8100.0,0
2011-08-28,101.0,100.0,99.0,100.0,-0.99,520.0,51820.0,0
2011-08-29,100.0,102.0,101.0,102.0,2.00,80.0,8120.0,0
2011-08-30,102.0,100.0,100.0,100.0,-1.96,640.0,64000.0,0
2011-09-01,100.0,104.0,99.0,104.0,4.00,110.0,11140.0,0
2011-09-04,104.0,102.0,101.0,101.0,-2.88,40.0,4050.0,0
2011-09-05,101.0,101.0,100.0,101.0,0.0,130.0,13090.0,0
2011-09-06,101.0,103.0,103.0,103.0,1.98,20.0,2060.0,0
2011-09-07,103.0,105.0,102.0,102.0,-0.97,530.0,54920.0,0
2011-09-08,102.0,102.0,100.0,102.0,0.0,770.0,78240.0,0
2011-09-12,102.0,102.0,100.0,102.0,0.0,360.0,36280.0,0
2011-09-13,102.0,104.0,102.0,102.0,0.0,310.0,31820.0,0
2011-09-14,102.0,106.0,104.0,104.0,1.96,130.0,13560.0,0
2011-09-15,104.0,106.0,103.0,106.0,1.92,120.0,12480.0,0
2011-09-18,106.0,106.0,102.0,103.0,-2.83,400.0,41440.0,0
2011-09-19,103.0,101.0,101.0,101.0,-1.94,30.0,3030.0,0
2011-09-20,101.0,100.0,100.0,100.0,-0.99,20.0,2000.0,0
2011-09-21,100.0,103.0,102.0,102.0,2.00,260.0,26540.0,0
2011-09-25,102.0,102.0,101.0,101.0,-0.98,110.0,11150.0,0
2011-10-02,101.0,99.0,99.0,99.0,-1.98,200.0,19800.0,0
2011-10-13,99.0,98.0,98.0,98.0,-1.01,40.0,3920.0,0
2011-10-16,98.0,99.0,99.0,99.0,1.02,30.0,2970.0,0
2011-10-17,99.0,100.0,99.0,100.0,1.01,120.0,11960.0,0
2011-10-18,100.0,101.0,100.0,101.0,1.00,170.0,17130.0,0
2011-10-19,101.0,101.0,101.0,101.0,0.0,80.0,8080.0,0
2011-10-20,101.0,101.0,101.0,101.0,0.0,80.0,8080.0,0
2011-10-23,101.0,101.0,101.0,101.0,0.0,40.0,4040.0,0
2011-10-24,101.0,102.0,100.0,102.0,0.99,170.0,17200.0,0
2011-10-31,102.0,103.0,103.0,103.0,0.98,40.0,4120.0,0
2011-11-02,103.0,105.0,104.0,105.0,1.94,80.0,8360.0,0
2011-11-03,105.0,107.0,106.0,106.0,0.95,90.0,9560.0,0
2011-11-06,106.0,108.0,107.0,107.0,0.94,80.0,8620.0,0
2011-11-08,107.0,105.0,105.0,105.0,-1.87,60.0,6300.0,0
2011-11-09,105.0,105.0,105.0,105.0,0.0,100.0,10500.0,0
2011-11-10,105.0,107.0,102.0,102.0,-2.86,240.0,25040.0,0
2011-11-13,102.0,102.0,102.0,102.0,0.0,180.0,18360.0,0
2011-11-14,102.0,106.0,104.0,106.0,3.92,70.0,7360.0,0
