published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-09-09,374.0,374.0,354.0,354.0,-9.92,14498.0,5145882.0,-1
2020-09-10,337.0,389.0,319.0,389.0,9.89,83295.0,28900909.0,1
2020-09-13,408.0,427.0,408.0,427.0,9.77,71494.0,30413883.0,1
2020-09-14,448.0,456.0,400.0,416.0,-2.58,115029.0,48817754.0,-1
2020-09-15,436.0,436.0,400.0,408.0,-1.92,40769.0,16625804.0,-1
2020-09-16,408.0,412.0,400.0,406.0,-0.49,28882.0,11725930.0,-1
2020-09-17,401.0,405.0,398.0,401.0,-1.23,37908.0,15184272.0,-1
2020-09-20,395.0,396.0,385.0,387.0,-3.49,37140.0,14379455.0,-1
2020-09-21,370.0,380.0,370.0,371.0,-4.13,45446.0,16918850.0,-1
2020-09-22,366.0,367.0,358.0,360.0,-2.96,42449.0,15355897.0,-1
2020-09-23,358.0,386.0,355.0,375.0,4.17,26060.0,9547070.0,1
2020-09-24,375.0,380.0,369.0,375.0,0.0,19135.0,7183145.0,0
2020-09-27,371.0,374.0,364.0,368.0,-1.87,16779.0,6193073.0,-1
2020-09-28,351.0,369.0,351.0,365.0,-0.82,17357.0,6307747.0,-1
2020-09-29,361.0,366.0,358.0,359.0,-1.64,31940.0,11525000.0,-1
2020-09-30,355.0,360.0,355.0,357.0,-0.56,24501.0,8761426.0,-1
2020-10-01,352.0,377.0,352.0,359.0,0.56,30235.0,10918760.0,1
2020-10-04,359.0,368.0,356.0,362.0,0.84,24105.0,8719500.0,1
2020-10-05,357.0,363.0,357.0,358.0,-1.1,15312.0,5505303.0,-1
2020-10-06,365.0,365.0,355.0,357.0,-0.28,14308.0,5103312.0,-1
2020-10-07,352.0,371.0,352.0,371.0,3.92,25735.0,9246946.0,1
2020-10-08,364.0,371.0,359.0,360.0,-2.96,15029.0,5460448.0,-1
2020-10-11,365.0,370.0,351.0,357.0,-0.83,9160.0,3253860.0,-1
2020-10-12,354.0,357.0,353.0,354.0,-0.84,12798.0,4540357.0,-1
2020-10-13,350.0,358.0,350.0,354.0,0.0,10920.0,3865880.0,0
2020-10-14,352.0,353.0,345.0,350.0,-1.13,17455.0,6099140.0,-1
2020-10-15,350.0,355.0,347.0,350.0,0.0,10859.0,3794565.0,0
2020-10-18,344.0,350.0,342.0,346.0,-1.14,7560.0,2624720.0,-1
2020-10-19,342.0,361.0,342.0,347.0,0.29,7100.0,2480040.0,1
2020-10-20,343.0,360.0,343.0,353.0,1.73,5910.0,2079340.0,1
2020-10-21,360.0,364.0,350.0,353.0,0.0,14264.0,5056432.0,0
2020-10-22,346.0,360.0,346.0,352.0,-0.28,7400.0,2592780.0,-1
