published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2011-06-26,386.0,400.0,393.0,400.0,nan,44.0,17446.0,0
2011-06-29,400.0,415.0,408.0,415.0,3.75,30.0,12310.0,0
2011-06-30,415.0,430.0,423.0,430.0,3.61,30.0,12830.0,0
2011-07-11,430.0,450.0,422.0,450.0,4.65,112.0,48736.0,0
2011-07-19,450.0,459.0,459.0,459.0,2.00,242.0,111078.0,0
2011-07-20,459.0,465.0,459.0,465.0,1.31,272.0,125028.0,0
2011-07-25,465.0,474.0,474.0,474.0,1.94,14.0,6636.0,0
2011-09-22,474.0,483.0,483.0,483.0,1.90,14.0,6762.0,0
2011-10-19,483.0,485.0,485.0,485.0,0.41,484.0,234740.0,0
2012-01-02,494.0,503.0,503.0,503.0,3.71,22.0,11066.0,0
2012-01-18,503.0,493.0,475.0,475.0,-5.57,1815.0,878460.0,0
2012-02-08,475.0,466.0,448.0,448.0,-5.68,978.0,442680.0,0
2012-02-09,448.0,440.0,424.0,424.0,-5.36,340.0,146176.0,0
2012-02-29,424.0,432.0,432.0,432.0,1.89,22.0,9504.0,0
2012-03-14,432.0,311.0,294.0,294.0,-31.94,4356.0,1329306.0,0
2012-03-18,294.0,300.0,294.0,298.0,1.36,71.0,21084.0,0
2012-03-19,298.0,309.0,303.0,309.0,3.69,46.0,14034.0,0
2012-03-20,309.0,319.0,309.0,319.0,3.24,91.0,28605.0,0
2012-03-21,319.0,331.0,325.0,331.0,3.76,48.0,15756.0,0
2012-03-26,331.0,337.0,337.0,337.0,1.81,20.0,6740.0,0
2012-04-15,337.0,343.0,343.0,343.0,1.78,10.0,3430.0,0
2012-04-17,343.0,355.0,349.0,355.0,3.50,50.0,17570.0,0
2012-04-18,355.0,374.0,360.0,374.0,5.35,80.0,29260.0,0
2012-04-19,374.0,402.0,381.0,402.0,7.49,85.0,33120.0,0
2012-05-09,402.0,410.0,410.0,410.0,1.99,95.0,38950.0,0
2012-05-10,410.0,418.0,418.0,418.0,1.95,26.0,10868.0,0
2012-05-14,418.0,426.0,426.0,426.0,1.91,10.0,4260.0,0
2012-05-31,426.0,418.0,418.0,418.0,-1.88,10.0,4180.0,0
2012-09-06,418.0,430.0,426.0,430.0,2.87,36.0,15376.0,0
2012-09-12,430.0,430.0,422.0,430.0,0.0,548.0,235408.0,0
2017-08-02,430.0,422.0,422.0,422.0,-1.86,22746.0,1990680.0,0
2017-08-03,422.0,414.0,380.0,380.0,-9.95,1250.0,486860.0,0
2017-08-06,380.0,373.0,345.0,345.0,-9.21,445.0,160665.0,0
2017-08-07,345.0,339.0,339.0,339.0,-1.74,150.0,50850.0,0
2017-08-09,339.0,339.0,309.0,309.0,-8.85,2080.0,671160.0,0
2017-08-10,193.0,190.0,190.0,190.0,-38.51,120.0,22800.0,0
2017-08-13,190.0,189.0,189.0,189.0,-0.53,50.0,9450.0,0
2017-08-20,189.0,186.0,183.0,183.0,-3.17,18101.0,3366186.0,0
2017-08-24,183.0,180.0,165.0,165.0,-9.84,30940.0,5424410.0,0
2017-08-27,165.0,162.0,149.0,149.0,-9.70,1900.0,284850.0,0
2017-08-28,149.0,147.0,135.0,135.0,-9.40,6614.0,893790.0,0
2017-08-30,135.0,134.0,122.0,134.0,-0.74,17372.0,2166954.0,0
2017-08-31,134.0,140.0,136.0,140.0,4.48,4940.0,672140.0,0
2017-09-04,140.0,140.0,138.0,140.0,0.0,500.0,69800.0,0
2017-09-06,140.0,142.0,136.0,138.0,-1.43,1660.0,229240.0,0
2017-09-07,138.0,140.0,136.0,136.0,-1.45,3320.0,461720.0,0
2017-09-10,136.0,134.0,123.0,125.0,-8.09,2960.0,369100.0,0
2017-09-11,125.0,123.0,119.0,119.0,-4.80,166.0,19854.0,0
2017-09-12,119.0,117.0,115.0,115.0,-3.36,40.0,4660.0,0
2017-09-13,115.0,118.0,110.0,118.0,2.61,5350.0,611910.0,0
2017-09-14,118.0,126.0,120.0,123.0,4.24,1000.0,123100.0,0
2017-09-17,123.0,126.0,124.0,126.0,2.44,146.0,18304.0,0
2017-09-18,126.0,132.0,128.0,130.0,3.17,2160.0,280800.0,0
2017-09-20,130.0,134.0,132.0,134.0,3.08,154.0,20348.0,0
2017-09-24,134.0,137.0,132.0,137.0,2.24,1890.0,253080.0,0
2017-09-25,137.0,136.0,135.0,135.0,-1.46,950.0,128290.0,0
2017-09-26,135.0,138.0,135.0,138.0,2.22,670.0,92050.0,0
2017-10-03,138.0,138.0,138.0,138.0,0.0,50.0,6900.0,0
2017-10-04,138.0,136.0,134.0,134.0,-2.90,1150.0,155600.0,0
2017-10-08,134.0,133.0,131.0,133.0,-0.75,780.0,103310.0,0
2017-10-09,133.0,131.0,127.0,127.0,-4.51,810.0,104790.0,0
2017-10-11,127.0,127.0,120.0,122.0,-3.94,6000.0,738800.0,0
2017-10-12,122.0,127.0,123.0,127.0,4.10,1728.0,213470.0,0
2017-10-15,127.0,139.0,129.0,139.0,9.45,2700.0,372240.0,0
2017-10-16,139.0,152.0,141.0,152.0,9.35,5075.0,766200.0,0
2017-10-17,152.0,167.0,155.0,167.0,9.87,5990.0,998170.0,0
2017-10-18,167.0,170.0,151.0,152.0,-8.98,4140.0,652990.0,0
2017-10-23,152.0,149.0,147.0,149.0,-1.97,1025.0,152705.0,0
