published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2020-09-09,346.0,374.0,346.0,374.0,10.0,230.0,85280.0,1
2020-09-10,392.0,411.0,392.0,411.0,9.89,610.0,249420.0,1
2020-09-13,423.0,452.0,423.0,452.0,9.98,810.0,363760.0,1
2020-09-14,474.0,497.0,474.0,497.0,9.96,1250.0,620830.0,1
2020-09-15,521.0,546.0,521.0,546.0,9.86,2980.0,1625380.0,1
2020-09-16,573.0,600.0,573.0,600.0,9.89,18390.0,11024880.0,1
2020-09-17,630.0,660.0,630.0,660.0,10.0,52531.0,34639320.0,1
2020-09-20,693.0,726.0,660.0,665.0,0.76,281168.0,194764516.0,1
2020-09-21,665.0,665.0,623.0,640.0,-3.76,203152.0,129855865.0,-1
2020-09-22,635.0,637.0,625.0,630.0,-1.56,112770.0,70853501.0,-1
2020-09-23,600.0,668.0,600.0,662.0,5.08,70575.0,44664106.0,1
2020-09-24,631.0,669.0,631.0,649.0,-1.96,55191.0,35961089.0,-1
2020-09-27,618.0,665.0,618.0,636.0,-2.0,43591.0,27818214.0,-1
2020-09-28,636.0,643.0,630.0,631.0,-0.79,31320.0,19761850.0,-1
2020-09-29,631.0,635.0,625.0,626.0,-0.79,30275.0,18970951.0,-1
2020-09-30,624.0,626.0,617.0,621.0,-0.8,36350.0,22544670.0,-1
2020-10-01,620.0,647.0,615.0,630.0,1.45,47051.0,29706996.0,1
2020-10-04,633.0,640.0,624.0,625.0,-0.79,44110.0,27737920.0,-1
2020-10-05,630.0,630.0,611.0,625.0,0.0,36105.0,22519652.0,0
2020-10-06,630.0,630.0,618.0,620.0,-0.8,36439.0,22607699.0,-1
2020-10-07,620.0,630.0,616.0,618.0,-0.32,26615.0,16468825.0,-1
2020-10-08,618.0,624.0,614.0,615.0,-0.49,46551.0,28695822.0,-1
2020-10-11,610.0,615.0,607.0,608.0,-1.14,29873.0,18205136.0,-1
2020-10-12,608.0,618.0,603.0,608.0,0.0,28035.0,17048705.0,0
2020-10-13,605.0,610.0,605.0,606.0,-0.33,18610.0,11290376.0,-1
2020-10-14,602.0,606.0,599.0,601.0,-0.83,28238.0,16997625.0,-1
2020-10-15,604.0,608.0,599.0,600.0,-0.17,22030.0,13231876.0,-1
2020-10-18,612.0,612.0,592.0,593.0,-1.17,19653.0,11674406.0,-1
2020-10-19,591.0,600.0,588.0,598.0,0.84,13786.0,8196557.0,1
2020-10-20,598.0,612.0,590.0,603.0,0.84,10145.0,6094500.0,1
2020-10-21,603.0,610.0,600.0,603.0,0.0,11598.0,6977358.0,0
2020-10-22,603.0,605.0,597.0,600.0,-0.5,15776.0,9448998.0,-1
2020-10-28,600.0,600.0,592.0,598.0,-0.33,22855.0,13566390.0,-1
2020-10-29,595.0,600.0,590.0,592.0,-1.0,26470.0,15681700.0,-1
2020-11-01,595.0,595.0,587.0,588.0,-0.68,28986.0,17061753.0,-1
2020-11-02,588.0,588.0,580.0,582.0,-1.02,33423.0,19475204.0,-1
