published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2019-05-12,91.0,91.0,88.0,88.0,-4.35,200.0,17890.0,-1
2019-05-13,89.0,93.0,89.0,93.0,5.68,730.0,65870.0,1
2019-05-14,94.0,94.0,90.0,90.0,-3.23,300.0,27560.0,-1
2019-05-15,86.0,89.0,86.0,89.0,-1.11,550.0,48560.0,-1
2019-05-16,90.0,92.0,90.0,92.0,3.37,360.0,32660.0,1
2019-05-19,88.0,94.0,88.0,94.0,2.17,660.0,60860.0,1
2019-05-20,95.0,98.0,92.0,97.0,3.19,1540.0,146380.0,1
2019-05-21,96.0,100.0,96.0,99.0,2.06,1270.0,124620.0,1
2019-05-22,100.0,108.0,100.0,104.0,5.05,18720.0,2013140.0,1
2019-05-23,106.0,109.0,97.0,99.0,-4.81,5440.0,555350.0,-1
2019-05-26,100.0,105.0,100.0,102.0,3.03,5630.0,574920.0,1
2019-05-27,100.0,107.0,99.0,105.0,2.94,1040.0,104560.0,1
2019-05-28,102.0,102.0,98.0,98.0,-6.67,2200.0,216430.0,-1
2019-05-29,99.0,107.0,99.0,105.0,7.14,7770.0,817510.0,1
2019-05-30,107.0,113.0,104.0,104.0,-0.95,4820.0,518950.0,-1
2019-06-02,102.0,112.0,102.0,110.0,5.77,790.0,83530.0,1
2019-06-03,108.0,108.0,102.0,104.0,-5.45,1850.0,195990.0,-1
2019-06-04,103.0,104.0,101.0,104.0,0.0,1510.0,153900.0,0
2019-06-06,103.0,103.0,100.0,100.0,-3.85,2140.0,217520.0,-1
2019-06-10,102.0,103.0,100.0,100.0,0.0,860.0,86770.0,0
2019-06-11,102.0,108.0,101.0,107.0,7.0,5228.0,551246.0,1
2019-06-12,107.0,107.0,104.0,104.0,-2.8,1310.0,137420.0,-1
2019-06-13,102.0,108.0,102.0,103.0,-0.96,2250.0,236560.0,-1
2019-06-16,105.0,105.0,100.0,100.0,-2.91,4750.0,479340.0,-1
2019-06-17,102.0,102.0,101.0,101.0,1.0,1000.0,101770.0,1
2019-06-18,102.0,107.0,101.0,105.0,3.96,3310.0,345210.0,1
2019-06-19,103.0,107.0,103.0,106.0,0.95,3290.0,346550.0,1
2019-06-20,104.0,109.0,102.0,107.0,0.94,2080.0,222040.0,1
2019-06-23,105.0,109.0,105.0,105.0,-1.87,4250.0,452130.0,-1
2019-06-24,104.0,107.0,104.0,104.0,-0.95,730.0,76600.0,-1
2019-06-25,102.0,105.0,102.0,104.0,0.0,570.0,59370.0,0
2019-06-26,102.0,105.0,102.0,105.0,0.96,810.0,83570.0,1
2019-06-27,103.0,105.0,103.0,104.0,-0.95,680.0,70370.0,-1
2019-06-30,102.0,105.0,102.0,103.0,-0.96,580.0,60090.0,-1
2019-07-01,101.0,105.0,101.0,104.0,0.97,1150.0,119390.0,1
2019-07-02,104.0,105.0,103.0,104.0,0.0,570.0,59325.0,0
2019-07-03,103.0,107.0,103.0,106.0,1.92,2290.0,241370.0,1
2019-07-04,104.0,107.0,104.0,107.0,0.94,1020.0,106770.0,1
2019-07-07,105.0,106.0,104.0,104.0,-2.8,770.0,80940.0,-1
2019-07-08,103.0,106.0,102.0,102.0,-1.92,1210.0,126020.0,-1
2019-07-09,102.0,104.0,102.0,104.0,1.96,640.0,66000.0,1
2019-07-10,103.0,105.0,103.0,105.0,0.96,590.0,61760.0,1
2019-07-11,103.0,104.0,102.0,104.0,-0.95,540.0,55740.0,-1
2019-07-14,103.0,104.0,103.0,104.0,0.0,430.0,44670.0,0
2019-07-15,103.0,103.0,103.0,103.0,-0.96,360.0,37080.0,-1
2019-07-16,104.0,107.0,104.0,105.0,1.94,1350.0,142710.0,1
2019-07-17,103.0,109.0,103.0,106.0,0.95,820.0,86370.0,1
2019-07-18,104.0,106.0,104.0,105.0,-0.94,290.0,30350.0,-1
2019-07-21,107.0,107.0,103.0,103.0,-1.9,370.0,38470.0,-1
2019-07-22,103.0,103.0,103.0,103.0,0.0,570.0,58710.0,0
2019-07-23,103.0,103.0,102.0,102.0,-0.97,430.0,44170.0,-1
2019-07-24,103.0,103.0,101.0,101.0,-0.98,1440.0,146800.0,-1
2019-07-25,102.0,106.0,100.0,101.0,0.0,2240.0,226400.0,0
2019-07-28,100.0,101.0,100.0,100.0,-0.99,1380.0,138030.0,-1
2019-07-29,100.0,101.0,100.0,100.0,0.0,400.0,40010.0,0
2019-07-30,100.0,102.0,99.0,100.0,0.0,1940.0,194850.0,0
2019-07-31,99.0,100.0,98.0,99.0,-1.0,540.0,53570.0,-1
2019-08-01,100.0,107.0,99.0,104.0,5.05,3296.0,336696.0,1
2019-08-04,105.0,114.0,105.0,108.0,3.85,9469.0,1031019.0,1
2019-08-05,108.0,108.0,104.0,105.0,-2.78,1110.0,116696.0,-1
2019-08-06,103.0,109.0,101.0,104.0,-0.95,1320.0,138700.0,-1
2019-08-07,102.0,106.0,101.0,106.0,1.92,735.0,76250.0,1
2019-08-08,104.0,104.0,102.0,103.0,-2.83,850.0,87726.0,-1
2019-08-11,101.0,103.0,100.0,102.0,-0.97,690.0,70480.0,-1
2019-08-12,100.0,105.0,100.0,102.0,0.0,1140.0,115840.0,0
2019-08-13,102.0,102.0,101.0,101.0,-0.98,290.0,29370.0,-1
2019-08-14,102.0,102.0,101.0,101.0,0.0,390.0,39530.0,0
2019-08-15,100.0,102.0,100.0,100.0,-0.99,560.0,56520.0,-1
2019-08-18,101.0,101.0,99.0,100.0,0.0,370.0,36930.0,0
2019-08-19,100.0,102.0,99.0,99.0,-1.0,870.0,86950.0,-1
