published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2021-04-25,565.0,570.0,537.0,541.0,-3.74,723657.0,395252640.0,-1
2021-04-26,540.0,541.0,520.0,526.0,-2.77,476237.0,252981740.0,-1
2021-04-27,520.0,548.0,517.0,547.0,3.99,392155.0,211677436.0,1
2021-04-28,550.0,555.0,532.0,545.0,-0.37,209761.0,114641622.0,-1
2021-04-29,545.0,549.0,534.0,542.0,-0.55,210781.0,114279443.0,-1
2021-05-02,542.0,545.0,535.0,542.0,0.0,448160.0,242246556.0,0
2021-05-03,542.0,554.0,542.0,544.0,0.37,368189.0,201660082.0,1
2021-05-04,560.0,560.0,541.0,544.0,0.0,302660.0,164860071.0,0
2021-05-05,544.0,544.0,539.0,540.0,-0.74,230204.0,124601784.0,-1
2021-05-06,540.0,540.0,531.0,532.0,-1.48,282014.0,150756153.0,-1
2021-05-09,530.0,535.0,520.0,528.0,-0.75,297827.0,157395044.0,-1
2021-05-10,528.0,540.0,525.0,534.0,1.14,182691.0,97261154.0,1
2021-05-11,540.0,543.0,530.0,537.0,0.56,216667.0,116713070.0,1
2021-05-12,511.0,545.0,511.0,534.0,-0.56,167760.0,89849014.0,-1
2021-05-13,534.0,537.0,525.0,531.0,-0.56,256911.0,136794532.0,-1
2021-05-16,535.0,549.0,526.0,547.0,3.01,546356.0,294990546.0,1
2021-05-17,555.0,560.0,545.0,546.0,-0.18,331567.0,182353256.0,-1
2021-05-18,546.0,553.0,542.0,544.0,-0.37,314084.0,171339779.0,-1
2021-05-19,544.0,552.0,537.0,538.0,-1.1,323110.0,175636344.0,-1
2021-05-20,560.0,560.0,530.0,537.0,-0.19,371438.0,199767111.0,-1
2021-05-23,537.0,543.0,529.0,538.0,0.19,362473.0,194864909.0,1
2021-05-24,539.0,545.0,535.0,536.0,-0.37,344835.0,185478431.0,-1
2021-05-25,555.0,555.0,532.0,534.0,-0.37,261918.0,139992847.0,-1
2021-05-27,534.0,536.0,529.0,530.0,-0.75,391248.0,207873796.0,-1
2021-05-30,530.0,545.0,528.0,530.0,0.0,522428.0,277933295.0,0
2021-05-31,530.0,535.0,526.0,526.0,-0.75,332230.0,175793236.0,-1
2021-06-01,526.0,532.0,523.0,525.0,-0.19,285458.0,150125522.0,-1
2021-06-02,525.0,528.0,523.0,524.0,-0.19,312966.0,164348306.0,-1
2021-06-03,525.0,540.0,525.0,533.0,1.72,618859.0,331386774.0,1
2021-06-06,542.0,581.0,542.0,578.0,8.44,1478885.0,839044067.0,1
2021-06-07,590.0,599.0,566.0,572.0,-1.04,805770.0,466288021.0,-1
2021-06-08,578.0,578.0,560.0,561.0,-1.92,588485.0,333115109.0,-1
2021-06-09,561.0,568.0,547.0,549.0,-2.14,466594.0,258073985.0,-1
2021-06-10,560.0,560.0,540.0,541.0,-1.46,444293.0,242045120.0,-1
2021-06-13,541.0,548.0,534.0,537.0,-0.74,419915.0,225843331.0,-1
2021-06-14,540.0,565.0,539.0,550.0,2.42,577558.0,316920942.0,1
2021-06-15,563.0,563.0,539.0,539.0,-2.0,320786.0,174565620.0,-1
2021-06-16,525.0,536.0,523.0,534.0,-0.93,483442.0,256301694.0,-1
2021-06-17,534.0,535.0,525.0,529.0,-0.94,464954.0,245450708.0,-1
2021-06-20,520.0,537.0,520.0,523.0,-1.13,388678.0,203801916.0,-1
2021-06-21,523.0,526.0,509.0,510.0,-2.49,420675.0,216499879.0,-1
2021-06-22,515.0,524.0,505.0,524.0,2.75,402416.0,207335025.0,1
2021-06-23,529.0,533.0,511.0,512.0,-2.29,201087.0,103528587.0,-1
2021-06-24,512.0,518.0,508.0,510.0,-0.39,252503.0,128823709.0,-1
2021-06-27,510.0,519.0,506.0,511.0,0.2,306783.0,156557063.0,1
2021-06-28,515.0,518.0,505.0,509.0,-0.39,185355.0,94407933.0,-1
2021-06-29,509.0,515.0,502.0,503.0,-1.18,247114.0,125059436.0,-1
2021-06-30,503.0,505.0,495.0,500.0,-0.6,240095.0,119653720.0,-1
2021-07-01,505.0,508.0,500.0,501.0,0.2,209366.0,105338016.0,1
2021-07-04,501.0,505.0,496.0,497.0,-0.8,184761.0,92046354.0,-1
2021-07-05,497.0,499.0,488.0,489.0,-1.61,271311.0,133235970.0,-1
2021-07-06,489.0,495.0,481.0,484.0,-1.02,255098.0,123746853.0,-1
2021-07-07,484.0,486.0,478.0,479.0,-1.03,227513.0,109376070.0,-1
2021-07-08,480.0,508.0,473.0,490.0,2.3,290179.0,139925228.0,1
2021-07-11,495.0,512.0,495.0,511.0,4.29,373329.0,187845642.0,1
2021-07-12,536.0,536.0,490.0,495.0,-3.13,364593.0,182771558.0,-1
2021-07-13,504.0,504.0,488.0,494.0,-0.2,253886.0,125187965.0,-1
2021-07-14,494.0,505.0,489.0,491.0,-0.61,154072.0,75807817.0,-1
2021-07-15,495.0,497.0,490.0,492.0,0.2,164324.0,80746434.0,1
2021-07-18,492.0,504.0,492.0,499.0,1.42,207820.0,103500851.2,1
2021-07-19,502.0,508.0,495.4,498.0,-0.2,212059.0,105896353.8,-1
2021-07-20,498.0,500.0,491.0,492.0,-1.2,159685.0,78801884.6,-1
2021-07-22,492.0,497.0,490.0,492.6,0.12,209467.0,102985225.7,1
2021-07-25,492.0,498.0,490.1,492.0,-0.12,300559.0,148165022.4,-1
2021-07-26,495.0,496.0,487.1,488.0,-0.81,294200.0,144105616.6,-1
2021-07-27,486.0,495.2,482.0,492.5,0.92,293096.0,142770973.7,1
2021-07-28,492.0,495.0,486.1,490.0,-0.51,216256.0,105812945.7,-1
2021-07-29,490.0,493.0,486.6,487.0,-0.61,206567.0,100796946.9,-1
2021-08-01,496.7,496.7,484.1,484.7,-0.47,220642.0,107099859.4,-1
2021-08-02,485.0,485.2,481.1,481.5,-0.66,232036.0,111887840.4,-1
2021-08-03,491.0,491.0,480.0,483.5,0.42,233403.0,112664530.4,1
2021-08-04,473.9,516.0,473.9,499.5,3.31,552344.0,276543752.5,1
2021-08-05,500.0,505.0,489.0,492.0,-1.5,226837.0,111865875.9,-1
2021-08-08,488.0,488.0,480.0,482.0,-2.03,392438.0,189108037.8,-1
2021-08-09,482.0,482.0,477.0,478.0,-0.83,311376.0,148888217.2,-1
2021-08-10,478.0,487.5,475.0,481.0,0.63,344596.0,164955950.7,1
2021-08-11,490.0,490.0,476.0,478.0,-0.62,267068.0,127875755.9,-1
2021-08-12,487.0,487.0,475.0,475.5,-0.52,296207.0,141329908.4,-1
2021-08-15,477.0,482.0,467.0,468.0,-1.58,365348.0,171712442.9,-1
2021-08-16,470.0,470.0,460.1,461.9,-1.3,329789.0,152712194.3,-1
2021-08-17,461.0,466.0,455.0,456.0,-1.28,374615.0,171288666.7,-1
2021-08-18,456.0,494.0,449.5,480.0,5.26,693344.0,327692033.5,1
2021-08-19,489.6,492.0,465.0,468.1,-2.48,297630.0,141836051.7,-1
2021-08-24,469.0,469.0,457.0,458.3,-2.09,212566.0,97816903.1,-1
2021-08-25,456.0,456.0,450.2,451.2,-1.55,203612.0,92120204.3,-1
2021-08-26,452.0,460.0,447.0,448.4,-0.62,268366.0,120764923.3,-1
2021-08-29,440.0,453.0,439.0,439.1,-2.07,308431.0,136352044.2,-1
